Image,Total_Boxes,Retained_Boxes,Avg_Conf,Japanese_Text
tr_img_06029,2,1,0.9669,"出庫注意"
tr_img_06030,8,7,0.9154,"五反田 | 丸子橋 | クランイーグル | 元住吉"
tr_img_06031,2,2,0.9005,"古の島条3丁目"
tr_img_06032,3,3,0.9982,"やきとり家 | すみれ | 笑"
tr_img_06033,9,9,0.9848,"三保 | 清水港 | 船越"
tr_img_06034,0,0,0.0000,""
tr_img_06035,1,0,0.0000,""
tr_img_06036,20,20,0.9650,"静鉄新清水駅 | 静岡市役所清水庁舎 | 清水マリンパーク"
tr_img_06037,5,3,0.8558,"滑りにくいへ | してます"
tr_img_06038,3,1,0.9836,"自分好みに組み合わせて音の追求を愉しもう。"
tr_img_06039,2,2,0.9977,"南14条西9丁目"
tr_img_06040,46,42,0.9412,"清水郵便局 | 清水駅西口 | 自転車等駐車場 | 人口1天 | 清水邸局 | 清水站西口自行牢等存外 | 清水簡易裁判所 | 清水箇易裁判所 | 人口天 | 清水税務署 | 清水税多局 | 人口1天 | は一とびあ清水 | 人口天 | 静市清水社会福祉会籠 | [Heartpia清水] | 観光案内所 | バス案内所 | H人 | 光介窃所 | 巴士同滴"
tr_img_06041,2,2,0.9088,"最大料金あり | 空亀"
tr_img_06042,3,2,0.7961,""
tr_img_06043,3,3,0.9724,"五丁目"
tr_img_06044,2,2,0.7198,"平岸1条仁工 | 3ー1"
tr_img_06045,4,4,0.9322,"日本橋 | 人形町 | 一目"
tr_img_06046,2,1,0.8708,"1181日"
tr_img_06047,3,3,0.9116,"私尾シンギンカン | 北海道名物 | 南1条店"
tr_img_06048,8,7,0.9263,"エキパ | つ | (パルシェ | ショツ | ーング街"
tr_img_06049,0,0,0.0000,""
tr_img_06050,0,0,0.0000,""
tr_img_06051,1,0,0.0000,""
tr_img_06052,2,1,0.9990,"豊平区"
tr_img_06053,3,3,0.9919,"一之橋北詰"
tr_img_06054,1,1,0.9656,""
tr_img_06055,49,44,0.9256,"八幡山 | 当駅構内施設の階層図 | 男子トイレ | 案内所 | エスカレ- | ター | 三scaetor | 階段 | 女子トイレ | つぷうりば | 待合室 | だれでもトイレ | コインロッガ | 自動体外式除細動器 | エレベータ- | 現在地から地上までの | バリアフリー主要ルート | 京王八王子: | 高尾山口・橋本 | 方面 | 現在地 | ホーム階 | 改札階へ | 新宿 | 方直 | コンコース階 | 地上出口へ | ホーム階へ | ホーム階へ"
tr_img_06056,2,2,0.9751,"南14条西16丁臣"
tr_img_06057,1,0,0.0000,""
tr_img_06058,1,0,0.0000,""
tr_img_06059,0,0,0.0000,""
tr_img_06060,1,1,1.0000,""
tr_img_06061,5,5,0.9540,"勝田台駅 | 駐田台站 | 勝田台站"
tr_img_06062,2,2,0.9748,""
tr_img_06063,3,1,0.9989,"麺屋"
tr_img_06064,11,11,0.9633,"ホ一ム傾斜に注意 | 車いす、べビ一カ一をご利用のお客さま | ホ一ムには水はけのため傾斜がごぎ | います。 | 車輪が線路 | ホ一ムでお待ちの際は、 | 必ずブレー | と平行になるように停め、 | キをおかけいただくようお願いいたし | ます。 | 十条駅長"
tr_img_06065,0,0,0.0000,""
tr_img_06066,3,3,0.9086,"清水相生町"
tr_img_06067,15,13,0.9467,"日・祝・月 | 火・水・木・金 | 土 | 木診 | 歯科 | 小児歯科 | 驕正歯科"
tr_img_06068,6,6,0.8757,"中原区 | 木月3丁目"
tr_img_06069,2,2,0.8550,"南2条西1３三"
tr_img_06070,0,0,0.0000,""
tr_img_06071,1,1,0.8688,"面渉江サッシ株式会社"
tr_img_06072,16,11,0.8653,"こしてく | 13月 | 静岡市役所 | 清水庁"
tr_img_06073,1,1,0.7227,"二平区"
tr_img_06074,1,0,0.0000,""
tr_img_06075,10,8,0.9529,"バス | を除く | タクシー | 浄岡市役所淆水庁舎"
tr_img_06076,57,54,0.9711,"入庫後24時間以内 | 500円 | 月金 | 最大料金 | 最大料金は入庫時点の曜日 | 祝日を | 1000円 | 土日祝 | 基準に適用されます。 | の最大料金は入庫時の曜日 | 祝日により異なります。 | の最大料金は繰り返し適用となります。 | 60分 | 200円 | 60分/ | 200円 | 通常料金 | 月金 | 月金 | 60分 | 300円 | 60分/ | 100円 | 土日祝 | 土日祝 | ご利用の際は | 場内の約歌看板をご確認ください | リパ一クコ一ルセンタ | 三井のリパーク | 三井不動産リアルティ札幌株式会社 | 駐車場名 | 札幌南14西6 | 住まいの売却 | 購入は | 法人専用力 | 駐車場用地募集中 | キャッジュ | レス精算 | 土地の有効活用、駐車場管理はお任せください | 三井のリ川ウス | 三井不動産リアルテイ札幌株式会社 | Δ故障等の連絡先ではありません会 | 公故障等の連絡先ではありません公"
tr_img_06077,4,4,0.8402,"木北 | 行こラ! | 新彰線で、 | ちょつといい旅"
tr_img_06078,14,12,0.9134,"への寸応 | 換気等による屋外からの新たな粒子の侵入は考慮しておりません。 | ＰハＳとは２5uｍ以下の | 糸称です。この空気漬浄機では０１ñ | 除去確認が出来ていません。また、空気申の | 有害物質のすべてを除去できるものではありません。 | 032ú(約8畳)の密閉空間での効果であり実使用空間での結果ではありません | % 試験方法：日本電機工業会規格(JＥM1467) | 微小粒子状物質を32ｍ(約8畳)の密閉空間で99％除去する時間が | 90分以内てあること(82ｍ(約８畳)の試験空間に | 換算した値です。"
tr_img_06079,19,18,0.9567,"感染症防上のため | 石鹸による | 手洗いを励行してください | 財務局管財グループノOIFice"
tr_img_06080,2,2,0.8763,"けんげち | 中川賢一事務所連絡所"
tr_img_06081,9,9,0.9408,"置番号 | 主車仏 | 使用方法 | し駐車のとき | 白線内の中央に駐車してください。 | 一定時間後; | ロツク板が上がります | 2。お帰りのとき | 精算機で料金を支払った後"
tr_img_06082,5,3,0.9288,"十条"
tr_img_06083,3,3,0.9658,"成城 | 六丁目"
tr_img_06084,6,6,0.8979,"やきとり家 | すスれ | 笑"
tr_img_06085,6,6,0.9372,"車検・点検 | オイル交換 | 板金・塗装"
tr_img_06086,3,2,0.8602,"日本橋 | 入形町"
tr_img_06087,1,1,0.7444,"平農条2目"
tr_img_06088,1,1,0.8721,""
tr_img_06089,2,2,0.9847,"形町"
tr_img_06090,0,0,0.0000,""
tr_img_06091,1,1,0.9913,"豊平区"
tr_img_06092,7,5,0.8536,"おさめ! | 見によ | ないと!"
tr_img_06093,2,2,0.8587,"中島ム園ごマラリ一"
tr_img_06094,13,11,0.9354,"川根本町 | 浜松 | 沼津 | 藤枝 | 静清ＢＰ | この先20"
tr_img_06095,3,2,0.9626,""
tr_img_06096,6,4,0.8733,"環環にやき | LＥＤを使用してします | 御茶ノ水"
tr_img_06097,4,4,0.9046,"国1七ツ新屋 | 交差点南東 | 島崎町"
tr_img_06098,0,0,0.0000,""
tr_img_06099,12,11,0.9554,"ネクステップ | 時間 | 西6パーキシグ | 時間貸 | 30分/ | 00円 | 60分 | 100円"
tr_img_06100,0,0,0.0000,""
tr_img_06101,4,4,0.9830,"市役所 | 清水庁舎"
tr_img_06102,4,2,0.8817,"豊平区 | しま"
tr_img_06103,1,1,0.9060,"谷内"
tr_img_06104,11,11,0.8629,"庫寺の注意 | 精算後、必す | して | ロツク板を | ください | 入出庫不司 | 入出庫可 | ック板ニより車面が損傷しでも | 演償致しかさます | お車は利用でません"
tr_img_06105,6,5,0.9784,"番ドア | 号車 | 女性専用車"
tr_img_06106,4,4,0.9353,"中原区 | 木月 | 4丁目"
tr_img_06107,1,0,0.0000,""
tr_img_06108,2,2,0.8417,"中央区 | 南5条西1丁目1"
tr_img_06109,0,0,0.0000,""
tr_img_06110,15,13,0.9250,"JR清水駅 | 能 | 羽衣」 | に名高い | T羽衣の松"
tr_img_06111,8,6,0.8920,"フリー"
tr_img_06112,3,3,0.8897,"用口 | 中山俊夫 | 三鷹ホ北野4一5一4"
tr_img_06113,5,4,0.7482,"食み攻是貞 | ２日キ門 | (予約製) | ギしくは店内ミて"
tr_img_06114,4,3,0.9616,""
tr_img_06115,2,1,0.9050,"トマト"
tr_img_06116,28,24,0.9575,"円山バスターミナル | 圓山公共汽牢紫起站 | 圓山巴士總站 | 円山公園 | 圓山公国 | 圓山公園 | 北海道神宮 | 北海道神宮 | 田山動物園 | 国山功物園 | 圓山動物園"
tr_img_06117,10,9,0.9189,"新静岡駅 | 御幸町 | 県庁 | 新静図站 | 御幸町 | 営業時問 | 年冊10年後8時"
tr_img_06118,2,2,0.9641,"中の島1条3丁目"
tr_img_06119,0,0,0.0000,""
tr_img_06120,2,1,0.8242,"シ・クラフド"
tr_img_06121,3,2,0.9802,"北海学園"
tr_img_06122,0,0,0.0000,""
tr_img_06123,2,1,0.9095,""
tr_img_06124,6,4,0.9916,"体にやさしい厳選された素材を | 当店スタッフが丁室に調理し | 美味しいお弁当ができました"
tr_img_06125,7,5,0.8107,"引広告物 | は | 緑都丘 | 2一41"
tr_img_06126,4,4,0.9243,"シーバ | とろ～り | まぐろ味セレクション"
tr_img_06127,0,0,0.0000,""
tr_img_06128,4,3,0.9216,"プレミアム | 安納芋ソツ | あんのういも"
tr_img_06129,3,2,0.9539,"ひらお | か"
tr_img_06130,19,17,0.8914,"24台 | ここを右折 | パーク | 札醍中島公園南駐車場 | 札幌中島公園南時重場 | 夜間20:008:00 | 昼間 | 100円 | 100円 | 60分 | 分 | ここを右折"
tr_img_06131,20,19,0.9424,"軽量 | クラフト封筒 | 長形3号 | 徳用 | 定形郵便 | サイズ | A4サイズ横3つ折対応 | 枚人 | 保存、 | 郵送に便利です。 | 書類等の整理"
tr_img_06132,1,1,0.8864,""
tr_img_06133,2,2,0.9857,"小舟町"
tr_img_06134,2,2,0.9653,"宇田川町"
tr_img_06135,37,33,0.9302,"えきまえひろば | 駅前広場 | 站前一珈 | タクシーのリば | 出租奉站 | えきまえこうばん | 駅前交番 | 站前派出所 | 斗善企 | ちかちゅうしやじょう | エキパ地 | 下駐車場 | エキパ」 | 地下停孫 | しずおかおんがくかん | 新静岡 | 静岡音楽館AO | 静音黍館ＡО"
tr_img_06136,1,1,0.8202,"高村索科"
tr_img_06137,2,2,0.8535,"丸菱声校 | 練馬宮業所"
tr_img_06138,1,1,0.9700,""
tr_img_06139,0,0,0.0000,""
tr_img_06140,2,2,0.9905,"化粧室"
tr_img_06141,2,1,0.8412,"さ用じております。"
tr_img_06142,12,7,0.9120,"井川 | 藤枝 | 東静岡駅 | 清水駅"
tr_img_06143,2,2,0.9433,"中の島1条2丁目"
tr_img_06144,0,0,0.0000,""
tr_img_06145,4,2,0.8931,"せ | 条3丁目4"
tr_img_06146,2,1,0.8849,"林女久里"
tr_img_06147,0,0,0.0000,""
tr_img_06148,1,1,0.7557,"台田場"
tr_img_06149,4,2,0.9658,"丁目"
tr_img_06150,1,1,0.8419,"深-44"
tr_img_06151,1,1,0.8415,"オワート"
tr_img_06152,2,2,0.9560,"南13条西7丁目"
tr_img_06153,9,9,0.9708,"興津 | 清水駅 | 草薙 | 南幹線"
tr_img_06154,2,0,0.0000,""
tr_img_06155,2,2,0.9435,"て達いつもありかとう | 工藤"
tr_img_06156,3,2,0.8975,"上 | すくそ"
tr_img_06157,1,1,0.9888,"米良"
tr_img_06158,1,1,0.9876,""
tr_img_06159,12,11,0.9468,"野菜も | おいしく保行! | X当社調べ。 | 運転状況や食品の種類 | 状態 | 効果が異ないます | 日立だけの | 真空チルド | 新鮮スリープ野菜室 | 3つの技術 | デリシャス冷凍"
tr_img_06160,1,1,0.9265,""
tr_img_06161,1,0,0.0000,""
tr_img_06162,5,3,0.8636,"地田屋安兵衛商店 | むすすめ | 3太商品"
tr_img_06163,1,0,0.0000,""
tr_img_06164,10,10,0.9699,"駐車券 | 発券 | Δご利用の際は、場内の約款看板を必すお読み下さい。 | 公2千円5千円・1万円札のご利用は出来ません。 | リパークコールセンター(携帯電話もこ利用できます) | Ｄ駐車場名リパーク札幌南１４西6"
tr_img_06165,4,3,0.8309,"京2時一製3時 | 火曜のみ風3 | 美和ビル"
tr_img_06166,1,0,0.0000,""
tr_img_06167,16,16,0.9699,"興津 | 清水駅 | 日本平 | 船越 | 清水港 | の先３00ｍ"
tr_img_06168,4,4,0.9104,"腫男 | 臼井"
tr_img_06169,2,2,0.9559,"ベトナム料理 | ホアングン"
tr_img_06170,18,16,0.9728,"人とクルマと街と | 最大料金 | 駐車後 | 24時間 | 円 | 60分200 | 最大料金は | タイムズ南10西7 | 繰り返し適用されます | 札幌市中央区南10条西7丁目 | 故障の際は | タイムズサービス(株)"
tr_img_06171,10,10,0.9321,"八番山 | はちまんやま | 上北沢 | 芦花公園"
tr_img_06172,2,2,0.9982,"南14条西5丁目"
tr_img_06173,1,1,0.9794,"谷区"
tr_img_06174,1,0,0.0000,""
tr_img_06175,0,0,0.0000,""
tr_img_06176,8,7,0.9426,"この出入口は | 毎友 | 東京都交通局"
tr_img_06177,4,4,0.9509,"中原区 | 木月 | 3丁目"
tr_img_06178,0,0,0.0000,""
tr_img_06179,4,4,0.9664,""
tr_img_06180,13,11,0.9150,"動画写真 | ゲームに | おすすめ | フレHD | 広視野角ADSパネル採用 | ワイド波品ディスプレイ"
tr_img_06181,4,3,0.7694,""
tr_img_06182,15,14,0.9823,"タクシー | 団体バス路線バス | 一般車 | レンタカー"
tr_img_06183,8,8,0.8911,"北野 | 四丁目"
tr_img_06184,2,2,0.8754,"まよ人"
tr_img_06185,90,77,0.9182,"人天印夫 | 清水年金事務所 | 清水年金事勇所 | 人口天 | 清水江尻小学校 | 清水江尻小学校 | 人口天 | 清水テルサ | 静市奈部勤芽者福祉中心 | 清水 | 人口天 | 印早人 | ＪＲ清水駅 | マリナート | 清水站 | 清水文化会館 | JR人I口I三g | 人口I天 | 荷頼プラザ | 静鉄新清水駅 | 市役所清水庁舎 | 新清水站 | 千俊町 | 相生町 | 巴町 | 清水年金事務所 | 清水年金事条所 | 浜田親水公園) | 島騎町公園 | 巴町公園 | 浜田ポンプ場ロ | JR東海道本郎 | C仲浜町町自治会館 | 現在地 | 水神社"
tr_img_06186,0,0,0.0000,""
tr_img_06187,9,5,0.8908,"栄町 | 公交準 | 菓町"
tr_img_06188,5,5,0.9520,"港 | 三田二丁目 | 時差式"
tr_img_06189,3,2,0.9744,"木月 | 城交骨院"
tr_img_06190,29,28,0.9369,"院長 | 石井 | 勝 | 科 | 内 | 消化器内科 | 東洋医学(鍼・漢芦）人間ドック | 督種検診 | 信環器内科 | 診療時間 | 婦人科 | 休診日ノ木曜・土曜(午後）・日曜・祝日 | 小児科 | 港区芝5-16-1千代ビル3 | 心療内科 | 当駅Ａ3Ａ8出口より徒歩3分 | 問合せ先 | 東京都営交通協力会"
tr_img_06191,4,0,0.0000,""
tr_img_06192,4,3,0.9835,""
tr_img_06193,0,0,0.0000,""
tr_img_06194,3,3,0.8693,"永代通の"
tr_img_06195,4,4,0.9753,"日本橋 | 人形町 | 三丁目"
tr_img_06196,7,5,0.8647,"上質な音楽空間をあなたへ | くつろぎの時間を演出する | テクニクスのオールインワン・プレミアム・コンポ"
tr_img_06197,10,10,0.9217,"ロック板が | 下かつたことを作もし | 出庫してください | 壬車位置番号を間違つた | 精算金は | 反金いたしません | 支払の途中で精算機から離れる | 場合は | 必す「ミメ背」ボタンを | 押してください"
tr_img_06198,20,20,0.9770,"JＲ清水駅東口 | 駐車場駐輪場 | 清水テルサ | 清水文化会館マリナート | ホテル"
tr_img_06199,13,10,0.8585,"重量制限 | 20七 | 高さ制限 | すすきの８・Ａ | 重屋と5以下 | くだ"
tr_img_06200,2,2,0.8625,"カタログブテイック | 隅4条店"
tr_img_06201,2,2,0.8738,"自転専手"
tr_img_06202,4,4,0.9661,"神保田T | 曙橋 | 方面 | 本八幡"
tr_img_06203,1,0,0.0000,""
tr_img_06204,7,6,0.8740,"しい非瑜漆系の材質を使用し | この後は地 | びの | ハーブの替し | シャンピニオンエキス"
tr_img_06205,2,0,0.0000,""
tr_img_06206,10,10,0.9709,"便利 | 安全機構 | `アロック | ムブを省いて | 運転中はロックされて開きません。 | チャイルドロック | 白動で節電・節水。 | 設定すると運転終了後も | ドアが開きません。 | (イメージ図)"
tr_img_06207,4,3,0.8068,"道は押して歩さまいよう | ムートン | 道薬復院十条"
tr_img_06208,4,3,0.9514,"ハンズで楽しむクリスマス"
tr_img_06209,61,60,0.9530,"南口 | 南出口 | 善王 | 北年金事務所 | 帝京大学医学部附属病院 | 北区福祉事務所 | 帝京大学・高等学校・中学校 | 北特別支選学校 | 東京家政大学・短期大学部 | 高等学校・中学校 | 北都税事務所 | 陸上自衛隊十条駐屯地 | 東京成徳大学・短期大学 | 北区立中央図書館"
tr_img_06210,4,3,0.8575,""
tr_img_06211,23,21,0.9380,"精算機が一部変更となリました | カードにて乗り越し不足額を | チャージされた場合は精算券は出ません | ご希堂のボタンを押しでくたさい | のリし金額 | 000円 | こちらを選択すると | IC力一ド残額 | 00円 | あと | 00円不足です | チャージ | 1000円 | 2000円 | 3000円 | 00円 | 10000円 | ご不明な点がありましたら | 駅係員までお問い | い合わせください | 一ジ"
tr_img_06212,2,2,0.9761,"水車町7"
tr_img_06213,27,23,0.9225,"クホ茶 | 支持率 | 体脈肪を減らすのを助ける | 特茶 | 体脂肪が気になる方に適してい | ネット調査 | 氷自社調ペ | (調査委託先 | 5回以 | マクロミル | 108名 | 食生活は、 | 主食 | 、主菜、副菜を基本に | メ事のバラシスを | サントリー | 特寺茶 | (税込)"
tr_img_06214,1,0,0.0000,""
tr_img_06215,12,10,0.9647,"南1条西4丁 | ヨ之出ビル"
tr_img_06216,3,3,0.9238,"三田駅"
tr_img_06217,5,5,0.8917,"防火木 | 専と | 門り | 店肉"
tr_img_06218,4,4,0.9196,"南1４西9"
tr_img_06219,0,0,0.0000,""
tr_img_06220,2,2,0.9377,"南4条西9丁目"
tr_img_06221,2,2,0.9969,"自転車 | 歩行者"
tr_img_06222,0,0,0.0000,""
tr_img_06223,0,0,0.0000,""
tr_img_06224,1,0,0.0000,""
tr_img_06225,3,1,0.8888,"あリます"
tr_img_06226,2,2,0.9299,"南13条西9丁目"
tr_img_06227,8,6,0.8558,"邦楽 | いか | ワワーレコードホしヤ品ピブッ5"
tr_img_06228,17,13,0.9279,"仙川 | ちとせからすやま | 芦花公園 | 仙川 | 千安弖山 | 芦祐公臣"
tr_img_06229,0,0,0.0000,""
tr_img_06230,6,4,0.8648,"おどし | アイス | 扉を少し誤け、"
tr_img_06231,14,13,0.9693,"井川 | 藤枝 | 東静岡駅 | 清水駅 | ター"
tr_img_06232,8,4,0.8831,"松東李苑"
tr_img_06233,7,5,0.8284,"平成22年号 | 然費基準+5％達成車 | 平成1今年 | ％低減 | 国士交通大臣認定車"
tr_img_06234,5,5,0.9317,"お手洗 | レストラン街(アステイ東館) | ショツビング街 (パルシェ食彩館"
tr_img_06235,6,6,0.9577,"禁煙 | 二の場所及び | ごルの前の道路上 | で喫煙しないで | 下さい | さつきビル管理人"
tr_img_06236,3,2,0.8112,"日 | 三"
tr_img_06237,16,16,0.9173,"く時計台札幌市役所･大通公園.すすきの方面 | 口 | 南 | 南口 | 甘孝 | 善子"
tr_img_06238,3,3,0.9338,"酒場"
tr_img_06239,4,4,0.9934,"中原区 | 木月 | 4丁目"
tr_img_06240,3,3,0.9995,"港橋"
tr_img_06241,4,1,0.9869,""
tr_img_06242,1,1,0.9461,"四ッ目通り"
tr_img_06243,1,1,0.9115,"札幌市中央区北1条西6"
tr_img_06244,3,2,0.8785,"ニスボスイムクラブ | 元主吉"
tr_img_06245,6,4,0.9253,"ホテルアソシ | ア静岡 | 内所"
tr_img_06246,2,1,0.7177,"基東京機概製作戸"
tr_img_06247,2,2,0.9071,"幸14条西8目"
tr_img_06248,11,8,0.9258,"タクシーのリば | 出租年站 | 駅前交番 | 站前派出所"
tr_img_06249,4,3,0.8940,"中古盛 | 専門店"
tr_img_06250,3,3,0.8760,"田鏡店 | 藤"
tr_img_06251,13,13,0.9866,"都営新宿線 | 都営新宿線 | 大江戸線 | 新宿駅 | 大江戸線 | 新宿站"
tr_img_06252,12,12,0.9572,"静岡市街 | 草薙 | 三保 | 日本平 | 右折 | 禁止 | この先300ｍ"
tr_img_06253,4,4,0.9960,"中原区 | 木月 | 2丁目"
tr_img_06254,4,2,0.7327,""
tr_img_06255,6,6,0.9131,"東名 | 溝口"
tr_img_06256,5,5,0.9333,"目"
tr_img_06257,0,0,0.0000,""
tr_img_06258,3,2,0.9363,"0席 | すすきの店"
tr_img_06259,0,0,0.0000,""
tr_img_06260,36,35,0.9501,"人とクルマと街と | 月～金曜 | 土・日祝 | 当日24時まで | 最大料金 | 聖7日宗 | 500円 | 基本料金 | 100円 | 60分; | 60分 | 60分300円 | 60分 | 100円 | 200円 | タイムズ南1 | 駐車券の取扱いに | 2西6 | へ | タイムズの最大料金は | 札幌市中央区南12条西6丁目1 | ご注意ください | 繰り返し適用されます | 出庫ができなくなります | 故障の際は | タイムズサ | ビス(株)"
tr_img_06261,54,49,0.9327,"マ0 | 千歳烏山 | 当駅構内施設の階層図 | 案内所 | 階段 | 女子トイレ | きつぷうりば | コインロッカー | だれでも | トイレ | 男子トイレ | 自動体外式除細動器 | 現在地から地上までの | バリアフリー主要ルート | 北ロコンコース階 | 酒 | 新宿 方面 | 改札階へ | ホーム階 | 南ロヨシコ | 京王八王子 | 高尾山口・橋本 方面 | 改札階 | 西ロコンコース階 | ・タクシーのりばへ | バス | ホーム麿へ | 銀ります | ここは新宿方面ホームです"
tr_img_06262,1,1,0.9496,"中央区"
tr_img_06263,3,2,0.7570,"母潤木曜日"
tr_img_06264,6,4,0.9634,"営業時間 | 朝"
tr_img_06265,1,1,0.9899,"東日本橋二丁目"
tr_img_06266,2,2,0.8461,"南14条西8丁目"
tr_img_06267,0,0,0.0000,""
tr_img_06268,0,0,0.0000,""
tr_img_06269,1,1,0.7752,""
tr_img_06270,20,19,0.9595,"案内所 | 寸本バス・督線バス | タクシー | レンタカー | 般車 | 乗降場"
tr_img_06271,0,0,0.0000,""
tr_img_06272,4,3,0.8979,"マハ音楽教室"
tr_img_06273,1,1,0.9843,"三村厚生"
tr_img_06274,2,1,0.9656,"高公久"
tr_img_06275,8,6,0.9741,"ここは | 中の島 | 27・7 | 北電興業(株)扱い"
tr_img_06276,2,1,0.9259,"泰"
tr_img_06277,13,13,0.9845,"末吉橋 | 川崎駅 | 横浜 | 五反田 | 綱島 | 丸子橋 | 綱島街道"
tr_img_06278,9,9,0.9517,"ロック板 | 下がっていますか？ | 公警告 | 板が降 | を確認し | ないます | ロク板が | 足はさみ | 注意"
tr_img_06279,5,5,0.9375,"機械器具設置業 | 登録電気工事業者 | 小丸動力建談(株 | 木札幌営業所"
tr_img_06280,1,1,0.9894,"角"
tr_img_06281,3,3,0.8699,"口糸 | 緑郎"
tr_img_06282,2,2,0.9193,"西新市五丁目"
tr_img_06283,4,2,0.9665,"ありがとうございます"
tr_img_06284,3,3,0.9824,"ヨットハーバー"
tr_img_06285,4,2,0.9107,""
tr_img_06286,5,4,0.9334,"寺合室 | 候年室"
tr_img_06287,3,1,0.8986,""
tr_img_06288,4,4,0.9915,"都宮三田線 | いちばん先のくだり階段"
tr_img_06289,3,0,0.0000,""
tr_img_06290,2,0,0.0000,""
tr_img_06291,4,2,0.8477,"学業寺"
tr_img_06292,1,0,0.0000,""
tr_img_06293,18,17,0.9528,"区役所第一分庁舎 | 四季の路 | 新宿区役所 | 歌舞伎田丁公園"
tr_img_06294,7,6,0.8409,"方セ歌で史える | 名様 | 名日 | 貝定です"
tr_img_06295,2,2,0.9509,""
tr_img_06296,0,0,0.0000,""
tr_img_06297,11,10,0.9213,"二リポンの窓をよくしたい | 渋江サッシ株式会社 | サッシ部 | 不動産部"
tr_img_06298,4,4,0.9204,"仏ず使用電子マ永一を | 選択してから | 力一ド援帯電話を | かさして下さい"
tr_img_06299,11,10,0.9231,"約 | 鮮度と栄養素を寺る | 気庄 | 真空チルド | 酵素の働きを抑制する | プラチナ | スリープ保有 | 触媒"
tr_img_06300,1,1,0.8024,"慶応仲通り商店街"
tr_img_06301,13,12,0.8965,"クリーニク | よるての時まで営業 | 急がなくても！"
tr_img_06302,2,2,0.9307,"中の島1条2丁目"
tr_img_06303,23,15,0.9037,"キチのトさん | マル | いつもシンクを清潔に | 小さなゴミもしっかりキャツチ | 穴あきメッシユの不織布 | 抗副成分 | 配台 | キッチンにうれしい | お取り替え時期 | (開封後 | 1ヶ月が目安) | 主三用消臭三一 | 式共品 | およそ | 30日用"
tr_img_06304,1,0,0.0000,""
tr_img_06305,0,0,0.0000,""
tr_img_06306,17,10,0.8284,"浜岡原発は最大のリスク | 早期廃炉へ! | 今の日本のキ和と希栄を支えている | 安法ですその客法を不正離な説 | ど静岡をまもる | は本当いキがてしょつか | られていろてしうん | 社公の番みが少子化の承因てす子者 | おたたのバれを呼べい答えていきます"
tr_img_06307,21,20,0.9696,"練馬駅 | 都営大江戸線 | 都庁前 | 六本木 | 飯田橋方面 | 光が丘 | 方面"
tr_img_06308,35,32,0.9832,"公共施設 | 文化施設 | 商業施設 | 宿泊施設 | 教育施設 | 田田 | 消防署 | 郵便局 | 銀行 | スポーツ | レジャー | 寺院 | 神社 | 教会"
tr_img_06309,6,6,0.9262,"中央区"
tr_img_06310,1,1,0.8956,"6村上公民館"
tr_img_06311,2,1,0.8304,"社重しないで下さい"
tr_img_06312,22,20,0.9566,"静岡県庁 | 御幸町 | 御幸町 | 静具庁 | 駿府城公園 | 新静岡駅 | 府城公園 | 新静站 | 企平下"
tr_img_06313,2,1,0.9341,""
tr_img_06314,6,6,0.8116,"エキU | 静音AOI | 「エキハ」地下停年場 | 静図中央郎局"
