Image,Total_Boxes,Retained_Boxes,Average_Confidence,GT_Count,OCR_JP_Count,Matched_Count,Precision,Recall,F1
tr_img_06031,2,1,0.9233,1,1,1,1.0000,1.0000,1.0000
tr_img_06032,3,1,0.9928,3,1,1,1.0000,0.3333,0.5000
tr_img_06033,9,3,0.9989,2,3,1,0.3333,0.5000,0.4000
tr_img_06034,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06035,5,2,0.9011,4,2,0,0.0000,0.0000,0.0000
tr_img_06036,20,3,0.9721,3,3,2,0.6667,0.6667,0.6667
tr_img_06037,5,2,0.8475,6,2,1,0.5000,0.1667,0.2500
tr_img_06038,4,1,0.9807,5,1,1,1.0000,0.2000,0.3333
tr_img_06039,2,1,0.9591,1,1,1,1.0000,1.0000,1.0000
tr_img_06040,47,22,0.9280,15,22,7,0.3182,0.4667,0.3784
tr_img_06041,3,1,0.9986,2,1,1,1.0000,0.5000,0.6667
tr_img_06042,1,1,0.7843,3,1,0,0.0000,0.0000,0.0000
tr_img_06043,5,2,0.9997,5,2,2,1.0000,0.4000,0.5714
tr_img_06044,2,1,0.9994,1,1,0,0.0000,0.0000,0.0000
tr_img_06045,4,3,0.9917,3,3,2,0.6667,0.6667,0.6667
tr_img_06046,2,1,0.8075,1,1,0,0.0000,0.0000,0.0000
tr_img_06047,3,3,0.8975,4,3,1,0.3333,0.2500,0.2857
tr_img_06048,5,1,0.9730,3,1,0,0.0000,0.0000,0.0000
tr_img_06049,2,1,0.9999,4,1,1,1.0000,0.2500,0.4000
tr_img_06050,1,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06051,2,1,0.7219,2,1,0,0.0000,0.0000,0.0000
tr_img_06052,3,2,0.9059,5,2,1,0.5000,0.2000,0.2857
tr_img_06053,4,1,0.9992,1,1,0,0.0000,0.0000,0.0000
tr_img_06054,2,0,0.0000,46,0,0,0.0000,0.0000,0.0000
tr_img_06055,52,24,0.9859,27,24,12,0.5000,0.4444,0.4706
tr_img_06056,2,1,0.9366,1,1,1,1.0000,1.0000,1.0000
tr_img_06057,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06058,3,2,0.9963,2,2,2,1.0000,1.0000,1.0000
tr_img_06059,0,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06060,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06061,5,3,0.9767,4,3,0,0.0000,0.0000,0.0000
tr_img_06062,4,1,0.9999,2,1,1,1.0000,0.5000,0.6667
tr_img_06063,3,1,0.9961,3,1,1,1.0000,0.3333,0.5000
tr_img_06064,11,9,0.9567,9,9,2,0.2222,0.2222,0.2222
tr_img_06065,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06066,3,1,0.9709,1,1,1,1.0000,1.0000,1.0000
tr_img_06067,19,8,0.9140,8,8,4,0.5000,0.5000,0.5000
tr_img_06068,6,1,0.9999,2,1,1,1.0000,0.5000,0.6667
tr_img_06069,2,1,0.8558,1,1,0,0.0000,0.0000,0.0000
tr_img_06070,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06071,1,1,0.9265,1,1,0,0.0000,0.0000,0.0000
tr_img_06072,16,5,0.8617,5,5,0,0.0000,0.0000,0.0000
tr_img_06073,1,1,0.7292,4,1,0,0.0000,0.0000,0.0000
tr_img_06074,1,1,0.7670,3,1,0,0.0000,0.0000,0.0000
tr_img_06075,11,2,0.9008,6,2,1,0.5000,0.1667,0.2500
tr_img_06076,61,44,0.9769,48,44,14,0.3182,0.2917,0.3043
tr_img_06077,5,4,0.9141,4,4,0,0.0000,0.0000,0.0000
tr_img_06078,16,13,0.9723,11,13,4,0.3077,0.3636,0.3333
tr_img_06079,19,4,0.9566,3,4,0,0.0000,0.0000,0.0000
tr_img_06080,6,4,0.9200,30,4,2,0.5000,0.0667,0.1176
tr_img_06081,9,9,0.9739,9,9,5,0.5556,0.5556,0.5556
tr_img_06082,6,1,0.7518,2,1,0,0.0000,0.0000,0.0000
tr_img_06083,3,2,0.9954,2,2,2,1.0000,1.0000,1.0000
tr_img_06084,6,2,0.9965,3,2,2,1.0000,0.6667,0.8000
tr_img_06085,8,4,0.9786,5,4,1,0.2500,0.2000,0.2222
tr_img_06086,4,3,0.9985,3,3,3,1.0000,1.0000,1.0000
tr_img_06087,2,1,0.9079,1,1,0,0.0000,0.0000,0.0000
tr_img_06088,4,1,0.9018,8,1,1,1.0000,0.1250,0.2222
tr_img_06089,4,3,0.9694,3,3,3,1.0000,1.0000,1.0000
tr_img_06090,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06091,2,1,0.9988,4,1,1,1.0000,0.2500,0.4000
tr_img_06092,9,2,0.8504,12,2,1,0.5000,0.0833,0.1429
tr_img_06093,4,1,0.8271,3,1,0,0.0000,0.0000,0.0000
tr_img_06094,15,7,0.9930,7,7,5,0.7143,0.7143,0.7143
tr_img_06095,3,2,0.8760,4,2,2,1.0000,0.5000,0.6667
tr_img_06096,6,3,0.9268,2,3,1,0.3333,0.5000,0.4000
tr_img_06097,6,4,0.9108,5,4,3,0.7500,0.6000,0.6667
tr_img_06098,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06099,13,7,0.9675,8,7,5,0.7143,0.6250,0.6667
tr_img_06100,1,1,0.9982,5,1,1,1.0000,0.2000,0.3333
tr_img_06101,4,2,0.9987,2,2,2,1.0000,1.0000,1.0000
tr_img_06102,3,2,0.9021,4,2,1,0.5000,0.2500,0.3333
tr_img_06103,2,1,0.9983,2,1,0,0.0000,0.0000,0.0000
tr_img_06104,12,10,0.9569,11,10,6,0.6000,0.5455,0.5714
tr_img_06105,5,3,0.9980,3,3,3,1.0000,1.0000,1.0000
tr_img_06106,4,3,0.9941,5,3,3,1.0000,0.6000,0.7500
tr_img_06107,2,1,0.9936,2,1,1,1.0000,0.5000,0.6667
tr_img_06108,2,2,0.9275,2,2,1,0.5000,0.5000,0.5000
tr_img_06109,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06110,17,5,0.9183,3,5,1,0.2000,0.3333,0.2500
tr_img_06111,11,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06112,3,3,0.8704,3,3,1,0.3333,0.3333,0.3333
tr_img_06113,6,3,0.8316,6,3,1,0.3333,0.1667,0.2222
tr_img_06114,4,1,0.9321,1,1,1,1.0000,1.0000,1.0000
tr_img_06115,2,1,0.7906,4,1,0,0.0000,0.0000,0.0000
tr_img_06116,28,11,0.9782,10,11,8,0.7273,0.8000,0.7619
tr_img_06117,15,10,0.9212,13,10,6,0.6000,0.4615,0.5217
tr_img_06118,2,1,0.9905,1,1,0,0.0000,0.0000,0.0000
tr_img_06119,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06120,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06121,1,1,0.9834,1,1,1,1.0000,1.0000,1.0000
tr_img_06122,1,1,0.9999,2,1,1,1.0000,0.5000,0.6667
tr_img_06123,2,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06124,7,3,0.9941,8,3,2,0.6667,0.2500,0.3636
tr_img_06125,4,2,0.9471,3,2,0,0.0000,0.0000,0.0000
tr_img_06126,10,5,0.9227,13,5,6,1.2000,0.4615,0.6667
tr_img_06127,0,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06128,7,3,0.8343,7,3,0,0.0000,0.0000,0.0000
tr_img_06129,3,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06130,27,13,0.9864,21,13,8,0.6154,0.3810,0.4706
tr_img_06131,21,10,0.9761,9,10,5,0.5000,0.5556,0.5263
tr_img_06132,4,3,0.9979,3,3,2,0.6667,0.6667,0.6667
tr_img_06133,2,1,0.8325,1,1,1,1.0000,1.0000,1.0000
tr_img_06134,2,1,1.0000,1,1,1,1.0000,1.0000,1.0000
tr_img_06135,35,11,0.9217,11,11,2,0.1818,0.1818,0.1818
tr_img_06136,2,1,0.9275,1,1,1,1.0000,1.0000,1.0000
tr_img_06137,2,1,0.8945,2,1,1,1.0000,0.5000,0.6667
tr_img_06138,4,3,0.9973,3,3,3,1.0000,1.0000,1.0000
tr_img_06139,5,2,0.9977,4,2,2,1.0000,0.5000,0.6667
tr_img_06140,2,1,0.9752,1,1,1,1.0000,1.0000,1.0000
tr_img_06141,2,2,0.8227,4,2,0,0.0000,0.0000,0.0000
tr_img_06142,6,2,0.9882,5,2,1,0.5000,0.2000,0.2857
tr_img_06143,2,1,0.9014,1,1,0,0.0000,0.0000,0.0000
tr_img_06144,1,0,0.0000,0,0,0,0.0000,0.0000,0.0000
tr_img_06145,4,2,0.9234,4,2,2,1.0000,0.5000,0.6667
tr_img_06146,2,1,0.7134,2,1,0,0.0000,0.0000,0.0000
tr_img_06147,1,1,0.9583,2,1,1,1.0000,0.5000,0.6667
tr_img_06148,2,1,0.9891,7,1,1,1.0000,0.1429,0.2500
tr_img_06149,4,3,0.9972,3,3,3,1.0000,1.0000,1.0000
tr_img_06150,1,1,0.9213,1,1,0,0.0000,0.0000,0.0000
tr_img_06151,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06152,2,1,0.9832,1,1,1,1.0000,1.0000,1.0000
tr_img_06153,9,4,0.9948,4,4,4,1.0000,1.0000,1.0000
tr_img_06154,2,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06155,2,2,0.9437,2,2,1,0.5000,0.5000,0.5000
tr_img_06156,4,1,0.9448,10,1,0,0.0000,0.0000,0.0000
tr_img_06157,2,1,0.9797,1,1,1,1.0000,1.0000,1.0000
tr_img_06158,0,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06159,12,11,0.9702,9,11,4,0.3636,0.4444,0.4000
tr_img_06160,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06161,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06162,6,4,0.9013,16,4,1,0.2500,0.0625,0.1000
tr_img_06163,3,1,0.9968,7,1,1,1.0000,0.1429,0.2500
tr_img_06164,14,7,0.9447,9,7,2,0.2857,0.2222,0.2500
tr_img_06165,17,4,0.9038,44,4,1,0.2500,0.0227,0.0417
tr_img_06166,1,1,0.8064,1,1,0,0.0000,0.0000,0.0000
tr_img_06167,16,6,0.9919,5,6,5,0.8333,1.0000,0.9091
tr_img_06168,4,2,0.7786,3,2,1,0.5000,0.3333,0.4000
tr_img_06169,3,1,0.9918,2,1,0,0.0000,0.0000,0.0000
tr_img_06170,32,21,0.9515,26,21,8,0.3810,0.3077,0.3404
tr_img_06171,9,3,0.9981,4,3,3,1.0000,0.7500,0.8571
tr_img_06172,2,1,0.9975,1,1,1,1.0000,1.0000,1.0000
tr_img_06173,6,2,0.8605,9,2,1,0.5000,0.1111,0.1818
tr_img_06174,1,0,0.0000,9,0,0,0.0000,0.0000,0.0000
tr_img_06175,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06176,9,4,0.9429,4,4,3,0.7500,0.7500,0.7500
tr_img_06177,4,3,0.9921,3,3,3,1.0000,1.0000,1.0000
tr_img_06178,4,3,0.9976,3,3,3,1.0000,1.0000,1.0000
tr_img_06179,8,1,0.9965,2,1,1,1.0000,0.5000,0.6667
tr_img_06180,9,3,0.9794,7,3,0,0.0000,0.0000,0.0000
tr_img_06181,10,2,0.8698,2,2,0,0.0000,0.0000,0.0000
tr_img_06182,16,3,0.9442,8,3,1,0.3333,0.1250,0.1818
tr_img_06183,8,2,0.9993,2,2,2,1.0000,1.0000,1.0000
tr_img_06184,2,1,0.9454,1,1,0,0.0000,0.0000,0.0000
tr_img_06185,82,34,0.9060,46,34,19,0.5588,0.4130,0.4750
tr_img_06186,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06187,10,3,0.9644,6,3,1,0.3333,0.1667,0.2222
tr_img_06188,5,3,0.9098,3,3,2,0.6667,0.6667,0.6667
tr_img_06189,3,2,0.8921,1,2,1,0.5000,1.0000,0.6667
tr_img_06190,31,20,0.9644,19,20,8,0.4000,0.4211,0.4103
tr_img_06191,6,0,0.0000,8,0,0,0.0000,0.0000,0.0000
tr_img_06192,5,1,0.9999,3,1,1,1.0000,0.3333,0.5000
tr_img_06193,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06194,4,1,0.8688,1,1,0,0.0000,0.0000,0.0000
tr_img_06195,4,3,0.9834,3,3,3,1.0000,1.0000,1.0000
tr_img_06196,6,2,0.9423,5,2,1,0.5000,0.2000,0.2857
tr_img_06197,9,8,0.9533,14,8,1,0.1250,0.0714,0.0909
tr_img_06198,19,4,0.9360,5,4,1,0.2500,0.2000,0.2222
tr_img_06199,15,4,0.8946,23,4,3,0.7500,0.1304,0.2222
tr_img_06200,2,1,0.9999,8,1,1,1.0000,0.1250,0.2222
tr_img_06201,1,1,0.7957,1,1,0,0.0000,0.0000,0.0000
tr_img_06202,4,4,0.9572,3,4,1,0.2500,0.3333,0.2857
tr_img_06203,1,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06204,11,8,0.8442,10,8,2,0.2500,0.2000,0.2222
tr_img_06205,1,0,0.0000,6,0,0,0.0000,0.0000,0.0000
tr_img_06206,10,8,0.9822,10,8,4,0.5000,0.4000,0.4444
tr_img_06207,7,4,0.8687,17,4,0,0.0000,0.0000,0.0000
tr_img_06208,3,1,0.9996,2,1,1,1.0000,0.5000,0.6667
tr_img_06209,46,14,0.9627,12,14,9,0.6429,0.7500,0.6923
tr_img_06210,5,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06211,25,21,0.9305,18,21,7,0.3333,0.3889,0.3590
tr_img_06212,2,1,0.8765,1,1,0,0.0000,0.0000,0.0000
tr_img_06213,25,16,0.9366,15,16,6,0.3750,0.4000,0.3871
tr_img_06214,2,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06215,13,3,0.9549,3,3,2,0.6667,0.6667,0.6667
tr_img_06216,4,2,0.9891,2,2,2,1.0000,1.0000,1.0000
tr_img_06217,10,5,0.8790,10,5,1,0.2000,0.1000,0.1333
tr_img_06218,4,1,0.8175,1,1,0,0.0000,0.0000,0.0000
tr_img_06219,0,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06220,2,1,0.8672,1,1,0,0.0000,0.0000,0.0000
tr_img_06221,2,2,0.9945,2,2,2,1.0000,1.0000,1.0000
tr_img_06222,4,0,0.0000,0,0,0,0.0000,0.0000,0.0000
tr_img_06223,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06224,1,1,0.7734,2,1,0,0.0000,0.0000,0.0000
tr_img_06225,3,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06226,2,1,0.9581,1,1,1,1.0000,1.0000,1.0000
tr_img_06227,13,1,0.9998,28,1,2,2.0000,0.0714,0.1379
tr_img_06228,17,6,0.9098,13,6,3,0.5000,0.2308,0.3158
tr_img_06229,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06230,3,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06231,14,4,0.9991,6,4,4,1.0000,0.6667,0.8000
tr_img_06232,11,2,0.8552,4,2,0,0.0000,0.0000,0.0000
tr_img_06233,5,4,0.8770,5,4,1,0.2500,0.2000,0.2222
tr_img_06234,10,4,0.9524,8,4,1,0.2500,0.1250,0.1667
tr_img_06235,6,6,0.9665,6,6,4,0.6667,0.6667,0.6667
tr_img_06236,4,3,0.9762,3,3,3,1.0000,1.0000,1.0000
tr_img_06237,16,7,0.9982,6,7,5,0.7143,0.8333,0.7692
tr_img_06238,6,2,0.8813,4,2,1,0.5000,0.2500,0.3333
tr_img_06239,4,3,0.9987,3,3,3,1.0000,1.0000,1.0000
tr_img_06240,3,1,0.9998,1,1,1,1.0000,1.0000,1.0000
tr_img_06241,7,4,0.9453,4,4,0,0.0000,0.0000,0.0000
tr_img_06242,1,1,0.9464,3,1,0,0.0000,0.0000,0.0000
tr_img_06243,1,1,0.8957,1,1,0,0.0000,0.0000,0.0000
tr_img_06244,3,1,0.9868,2,1,1,1.0000,0.5000,0.6667
tr_img_06245,10,2,0.9961,2,2,0,0.0000,0.0000,0.0000
tr_img_06246,4,3,0.9957,3,3,3,1.0000,1.0000,1.0000
tr_img_06247,2,1,0.9375,1,1,1,1.0000,1.0000,1.0000
tr_img_06248,11,3,0.9681,2,3,1,0.3333,0.5000,0.4000
tr_img_06249,5,3,0.8430,4,3,2,0.6667,0.5000,0.5714
tr_img_06250,7,1,0.7421,11,1,0,0.0000,0.0000,0.0000
tr_img_06251,13,6,0.9607,6,6,4,0.6667,0.6667,0.6667
tr_img_06252,13,7,0.9698,6,7,3,0.4286,0.5000,0.4615
tr_img_06253,4,3,0.9995,3,3,3,1.0000,1.0000,1.0000
tr_img_06254,4,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06255,6,2,0.9994,2,2,2,1.0000,1.0000,1.0000
tr_img_06256,8,3,0.9193,3,3,0,0.0000,0.0000,0.0000
tr_img_06257,1,1,0.7856,1,1,0,0.0000,0.0000,0.0000
tr_img_06258,6,2,0.9021,5,2,1,0.5000,0.2000,0.2857
tr_img_06259,1,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06260,35,24,0.9786,28,24,9,0.3750,0.3214,0.3462
tr_img_06261,54,19,0.9528,37,19,11,0.5789,0.2973,0.3929
tr_img_06262,1,1,0.9954,2,1,1,1.0000,0.5000,0.6667
tr_img_06263,4,2,0.7855,2,2,0,0.0000,0.0000,0.0000
tr_img_06264,6,1,0.9935,7,1,1,1.0000,0.1429,0.2500
tr_img_06265,1,1,0.9556,1,1,1,1.0000,1.0000,1.0000
tr_img_06266,2,1,0.9759,1,1,1,1.0000,1.0000,1.0000
tr_img_06267,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06268,4,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06269,4,3,0.9802,3,3,2,0.6667,0.6667,0.6667
tr_img_06270,19,4,0.9764,7,4,1,0.2500,0.1429,0.1818
tr_img_06271,4,3,0.9960,4,3,2,0.6667,0.5000,0.5714
tr_img_06272,4,1,0.9863,1,1,0,0.0000,0.0000,0.0000
tr_img_06273,2,2,0.8662,2,2,1,0.5000,0.5000,0.5000
tr_img_06274,2,1,0.9978,2,1,1,1.0000,0.5000,0.6667
tr_img_06275,7,2,0.9726,5,2,2,1.0000,0.4000,0.5714
tr_img_06276,2,1,0.8561,6,1,0,0.0000,0.0000,0.0000
tr_img_06277,14,8,0.9978,7,8,5,0.6250,0.7143,0.6667
tr_img_06278,12,11,0.9382,19,11,2,0.1818,0.1053,0.1333
tr_img_06279,3,3,0.9460,4,3,1,0.3333,0.2500,0.2857
tr_img_06280,2,1,0.9852,2,1,0,0.0000,0.0000,0.0000
tr_img_06281,4,2,0.9794,2,2,2,1.0000,1.0000,1.0000
tr_img_06282,2,1,0.9283,1,1,1,1.0000,1.0000,1.0000
tr_img_06283,4,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06284,3,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06285,10,2,0.9247,5,2,0,0.0000,0.0000,0.0000
tr_img_06286,4,2,0.9012,2,2,0,0.0000,0.0000,0.0000
tr_img_06287,2,1,0.7940,10,1,0,0.0000,0.0000,0.0000
tr_img_06288,4,2,0.9561,2,2,1,0.5000,0.5000,0.5000
tr_img_06289,3,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06290,10,7,0.9871,7,7,5,0.7143,0.7143,0.7143
tr_img_06291,3,1,0.8487,1,1,0,0.0000,0.0000,0.0000
tr_img_06292,1,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06293,19,6,0.9035,7,6,3,0.5000,0.4286,0.4615
tr_img_06294,7,3,0.9369,4,3,0,0.0000,0.0000,0.0000
tr_img_06295,5,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06296,0,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06297,10,4,0.9428,5,4,2,0.5000,0.4000,0.4444
tr_img_06298,4,4,0.8470,4,4,1,0.2500,0.2500,0.2500
tr_img_06299,11,8,0.9299,9,8,4,0.5000,0.4444,0.4706
tr_img_06300,1,1,0.7130,3,1,0,0.0000,0.0000,0.0000
tr_img_06301,19,5,0.9406,11,5,3,0.6000,0.2727,0.3750
tr_img_06302,2,1,0.8589,1,1,1,1.0000,1.0000,1.0000
tr_img_06303,24,13,0.9251,25,13,5,0.3846,0.2000,0.2632
tr_img_06304,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06305,1,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06306,20,7,0.8322,15,7,2,0.2857,0.1333,0.1818
tr_img_06307,22,7,0.9988,8,7,5,0.7143,0.6250,0.6667
tr_img_06308,23,12,0.9586,15,12,10,0.8333,0.6667,0.7407
tr_img_06309,6,1,1.0000,2,1,1,1.0000,0.5000,0.6667
tr_img_06310,1,1,0.9416,1,1,1,1.0000,1.0000,1.0000
tr_img_06311,2,1,0.9082,2,1,0,0.0000,0.0000,0.0000
tr_img_06312,22,9,0.9413,6,9,2,0.2222,0.3333,0.2667
tr_img_06313,11,3,0.9992,4,3,3,1.0000,0.7500,0.8571
tr_img_06314,18,5,0.9045,7,5,1,0.2000,0.1429,0.1667
tr_img_06315,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06316,26,14,0.9491,16,14,7,0.5000,0.4375,0.4667
tr_img_06317,2,1,0.8987,1,1,1,1.0000,1.0000,1.0000
tr_img_06318,3,2,0.8963,2,2,0,0.0000,0.0000,0.0000
tr_img_06319,7,2,0.8981,112,2,0,0.0000,0.0000,0.0000
tr_img_06320,41,17,0.9277,79,17,9,0.5294,0.1139,0.1875
tr_img_06321,1,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06322,1,1,0.9706,1,1,1,1.0000,1.0000,1.0000
tr_img_06323,2,1,0.8862,1,1,0,0.0000,0.0000,0.0000
tr_img_06324,3,2,0.9473,12,2,1,0.5000,0.0833,0.1429
tr_img_06325,4,1,1.0000,2,1,1,1.0000,0.5000,0.6667
tr_img_06326,33,16,0.9422,30,16,5,0.3125,0.1667,0.2174
tr_img_06327,8,1,0.9372,4,1,0,0.0000,0.0000,0.0000
tr_img_06328,2,1,0.9826,1,1,0,0.0000,0.0000,0.0000
tr_img_06329,4,3,0.9993,3,3,3,1.0000,1.0000,1.0000
tr_img_06330,6,1,0.9613,5,1,1,1.0000,0.2000,0.3333
tr_img_06331,4,3,0.9994,3,3,3,1.0000,1.0000,1.0000
tr_img_06332,16,11,0.9291,37,11,4,0.3636,0.1081,0.1667
tr_img_06333,2,1,0.7353,1,1,0,0.0000,0.0000,0.0000
tr_img_06334,15,7,0.9924,9,7,6,0.8571,0.6667,0.7500
tr_img_06335,1,1,0.8276,7,1,1,1.0000,0.1429,0.2500
tr_img_06336,2,1,0.8740,1,1,0,0.0000,0.0000,0.0000
tr_img_06337,2,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06338,4,3,0.9653,3,3,3,1.0000,1.0000,1.0000
tr_img_06339,0,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06340,2,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06341,1,1,0.9312,1,1,0,0.0000,0.0000,0.0000
tr_img_06342,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06343,5,2,0.9991,12,2,0,0.0000,0.0000,0.0000
tr_img_06344,0,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06345,3,1,0.9889,1,1,0,0.0000,0.0000,0.0000
tr_img_06346,11,4,0.9527,7,4,2,0.5000,0.2857,0.3636
tr_img_06347,9,1,0.8038,3,1,0,0.0000,0.0000,0.0000
tr_img_06348,4,3,0.9793,3,3,3,1.0000,1.0000,1.0000
tr_img_06349,21,10,0.9478,7,10,3,0.3000,0.4286,0.3529
tr_img_06350,6,1,0.9999,2,1,1,1.0000,0.5000,0.6667
tr_img_06351,6,1,0.7172,6,1,0,0.0000,0.0000,0.0000
tr_img_06352,46,19,0.9073,12,19,1,0.0526,0.0833,0.0645
tr_img_06353,12,8,0.9587,9,8,4,0.5000,0.4444,0.4706
tr_img_06354,4,1,0.8438,3,1,1,1.0000,0.3333,0.5000
tr_img_06355,5,2,0.9524,8,2,2,1.0000,0.2500,0.4000
tr_img_06356,16,3,0.9341,12,3,0,0.0000,0.0000,0.0000
tr_img_06357,2,1,0.8810,0,1,0,0.0000,0.0000,0.0000
tr_img_06358,4,1,0.9852,1,1,0,0.0000,0.0000,0.0000
tr_img_06359,1,1,0.8195,1,1,1,1.0000,1.0000,1.0000
tr_img_06360,4,3,0.9994,3,3,3,1.0000,1.0000,1.0000
tr_img_06361,15,3,0.9412,3,3,2,0.6667,0.6667,0.6667
tr_img_06362,4,2,0.9350,2,2,1,0.5000,0.5000,0.5000
tr_img_06363,2,1,0.9979,1,1,1,1.0000,1.0000,1.0000
tr_img_06364,1,0,0.0000,6,0,0,0.0000,0.0000,0.0000
tr_img_06365,4,3,0.9997,3,3,2,0.6667,0.6667,0.6667
