Image,GT_Count,Matched_85+,Fuzzy_Avg,BLEU_Avg
tr_img_06045.txt,4,2,0.5642857142857143,0.04445698525097307
tr_img_06046.txt,2,0,0.400163666121113,0.04017142094723259
tr_img_06047.txt,4,3,0.79375,0.13912722685757836
tr_img_06048.txt,9,0,0.4516010949834479,0.016614986458013566
tr_img_06049.txt,3,0,0.5214285714285715,0.13672852196606256
tr_img_06051.txt,2,0,0.41625615763546797,0.045348744138729476
tr_img_06052.txt,4,1,0.5336302211302212,0.06578920369221801
tr_img_06053.txt,4,0,0.3134057971014492,0.0
tr_img_06054.txt,67,0,0.18268331496553933,0.0
tr_img_06055.txt,60,11,0.623380107187927,0.1200094446764653
tr_img_06056.txt,2,1,0.4930875576036866,0.04017142094723259
tr_img_06057.txt,1,0,0.3037974683544304,0.04282963710525157
tr_img_06058.txt,3,2,0.6190476190476191,0.105409255338946
tr_img_06061.txt,7,0,0.5438043159847671,0.08544850178406978
tr_img_06062.txt,5,0,0.1998619874748907,0.0
tr_img_06063.txt,4,1,0.4065601736972705,0.04445698525097307
tr_img_06064.txt,8,3,0.740197442827726,0.21848337730485998
tr_img_06066.txt,3,1,0.7483530961791831,0.1552542147129867
tr_img_06067.txt,15,2,0.3394326531666685,0.038293236594346365
tr_img_06068.txt,6,0,0.29944350122618374,0.0
tr_img_06069.txt,2,1,0.6290322580645161,0.5
tr_img_06070.txt,1,0,0.15384615384615385,0.0
tr_img_06071.txt,1,0,0.32,0.08034284189446518
tr_img_06072.txt,14,0,0.3642545616429998,0.05821637804499592
tr_img_06073.txt,4,1,0.507051282051282,0.10386241824234288
tr_img_06074.txt,3,0,0.36622390891840606,0.056634808161570745
tr_img_06075.txt,12,1,0.38325579273855137,0.017400707439683662
tr_img_06076.txt,65,8,0.5323210263644849,0.08767124966230562
tr_img_06077.txt,3,2,0.8148148148148149,0.16468523567357676
tr_img_06078.txt,16,2,0.5799169391496859,0.14818173584238278
tr_img_06079.txt,19,2,0.36341127511406157,0.05781807702396766
tr_img_06080.txt,32,1,0.30397201781001904,0.047654481507254674
tr_img_06081.txt,10,4,0.621498654729205,0.24561849458196033
tr_img_06082.txt,7,0,0.21031746031746032,0.0
tr_img_06083.txt,3,1,0.40740740740740744,0.059275980334630766
tr_img_06084.txt,6,1,0.6141553465691397,0.054560469854335734
tr_img_06085.txt,7,2,0.6107076306103286,0.046766117018002054
tr_img_06086.txt,4,2,0.5580357142857143,0.04445698525097307
tr_img_06087.txt,2,1,0.4825026511134677,0.045348744138729476
tr_img_06088.txt,9,0,0.2455325175913411,0.0
tr_img_06089.txt,4,2,0.5580357142857143,0.04445698525097307
tr_img_06091.txt,4,1,0.5088235294117647,0.037383719530530525
tr_img_06092.txt,13,1,0.3574962550328229,0.013679072384914791
tr_img_06093.txt,8,0,0.3936787227109808,0.028405484161687488
tr_img_06094.txt,17,8,0.6445150709856593,0.08201943912643342
tr_img_06095.txt,4,2,0.7053571428571428,0.28738371953053055
tr_img_06096.txt,6,2,0.4852876592007027,0.059275980334630766
tr_img_06097.txt,6,3,0.6654105343363655,0.11165713802260537
tr_img_06099.txt,12,5,0.6003811218964672,0.09494963448101001
tr_img_06100.txt,5,0,0.22252356339312857,0.0
