Image_Name,Center_X,Center_Y,Width,Height,Text,Score,Translated_Text
tr_img_06019,697.5,201.5,209.0,208.0,歳,0.9994,age
tr_img_06019,697.2,334.0,196.5,82.0,からの,0.9995,From
tr_img_06019,1152.5,734.0,1062.0,558.0,黒氏,0.6614,Mr. Kuro
tr_img_06019,1134.0,1510.5,672.0,169.0,まぐろとかつ,0.9788,Tuna and katsu
tr_img_06019,286.5,2013.0,141.0,94.0,タウリン,0.9776,Taurine
tr_img_06019,293.0,2117.0,166.0,111.0,ビタミンバ,0.8127,Vitamin ba
tr_img_06019,331.8,2335.8,167.5,135.5,禁合,0.6864,Forbidden
tr_img_06019,339.0,2435.2,230.0,151.5,栄養食,0.9403,Nutritional food
tr_img_06019,1939.5,2376.8,180.0,85.5,盛り付け,0.7693,Serving
tr_img_06019,378.5,2677.5,324.0,150.0,15歳から0,0.9248,15 to 0
tr_img_06019,423.8,2959.2,411.5,128.5,皮崗被毛の優康に配良,0.6606,"Dedicated to Yuyasu, a granite coat"
tr_img_06015,1685.2,840.0,2228.5,301.0,吉川内科・循環器科クリニツク,0.9258,Yoshikawa Internal Medicine and Cardiology Clinic
tr_img_06020,1673.5,455.0,877.0,144.0,水天宮前駅,0.9983,Suitengumae Station
tr_img_06020,781.2,462.0,663.5,136.0,半蔵門線,0.9995,Hanzomon Line
tr_img_06020,1579.0,1100.2,678.0,109.5,山目宮天元,0.5817,Yamamemiya Tengen
tr_img_06021,1234.5,177.2,168.0,61.5,青水区,0.8557,Qingsui Ward
tr_img_06021,1229.8,643.8,126.5,816.5,中之郷一一丁目,0.6523,Nakanogo 11-chome
tr_img_06018,1126.0,266.0,313.0,136.0,豊平区,0.9998,Toyohira Ward
tr_img_06018,1193.8,1142.0,294.5,1510.0,中の島1条3丁目1,0.7921,Nakajima 1-jo 3-chome 1
tr_img_06023,1501.2,828.5,780.5,158.0,静岡市役所,0.9989,Shizuoka City Hall
tr_img_06023,1820.2,1075.8,428.5,106.5,人天金引人,0.6573,Human-ten-monitor
tr_img_06023,1319.2,1069.5,397.5,86.0,静図市役所,0.9295,Shizuzu City Hall
tr_img_06023,1435.2,1268.0,621.5,142.0,葵区役所,0.9999,Aoi Ward Office
tr_img_06023,99.8,1379.5,114.5,118.0,館,1.0,Museum
tr_img_06023,1279.0,1512.0,322.0,88.0,葵区役所,1.0,Aoi Ward Office
tr_img_06023,1689.5,1510.5,364.0,79.0,OI30I子,0.6026,OI30I child
tr_img_06023,1358.0,1718.5,480.0,148.0,紺屋町,0.998,Konyacho
tr_img_06023,70.8,1783.0,96.5,82.0,階,1.0,Floor
tr_img_06023,1238.8,1956.2,262.5,102.5,紺屋町,0.8993,Konyacho
tr_img_06023,1366.0,2214.5,485.0,165.0,呉服町,0.9931,Kimono Town
tr_img_06023,1248.5,2461.8,271.0,120.5,臭服町,0.848,Otobuchi Town
tr_img_06023,1359.5,2687.0,485.0,165.0,七間町,0.9998,Nanama Town
tr_img_06023,1261.2,2939.0,269.5,109.0,七面町,0.8027,Shichimen Town
tr_img_06023,1633.2,2935.8,345.5,123.5,人入型禿,0.5311,Person-type bald
tr_img_06022,1473.5,962.8,1045.0,134.5,空気単口消火検,0.7525,Single-ull air fire extinguishing inspection
tr_img_06025,1610.0,655.2,1187.0,1016.5,薬,0.94,medicine
tr_img_06025,1602.2,2421.2,147.5,879.5,お目げいたします,0.5961,I'll be looking
tr_img_06026,1020.2,349.8,756.5,232.5,休診中,0.999,Closed
tr_img_06026,885.2,693.8,335.5,74.5,初診・急患,0.9947,First visit/urgent patient
tr_img_06026,1190.5,692.0,242.0,59.0,随時受付,1.0,Reception at any time
tr_img_06026,1079.2,940.8,576.5,73.5,オぶ通い歯科医院,0.7155,Obu-go Dental Clinic
tr_img_06028,1411.2,1615.2,907.5,343.5,ザ・カ,0.8559,The Ca
tr_img_06024,1565.8,1093.0,1305.5,519.0,万世町,0.9998,Mansei Town
tr_img_06030,913.8,707.5,238.5,81.0,五反田,0.9952,Gotanda
tr_img_06030,925.0,864.0,249.0,82.0,丸子橋,0.9996,Maruko Bridge
tr_img_06030,493.0,1140.5,81.0,29.0,クランイーグ川,0.6065,Claneig River
tr_img_06030,494.0,1169.2,60.0,26.5,元住吉,0.8512,Motosumiyoshi
tr_img_06027,1457.0,120.8,185.0,71.5,中原区,0.9999,Nakahara Ward
tr_img_06032,925.8,243.2,1294.5,405.5,やきとり家,0.9952,Yakitori House
tr_img_06032,842.0,581.8,1387.0,555.5,すみれ,0.9993,violet
tr_img_06035,733.5,526.5,714.0,133.0,三本京大車吉,0.5743,Sanbonkyo University
tr_img_06035,1005.5,1026.8,1165.0,160.5,新品主販売しています,0.692,New products are on sale
tr_img_06029,1557.8,1499.2,253.5,1071.5,車かまた,0.5273,Is it a car?
tr_img_06029,876.2,1464.8,725.5,281.5,出庫注意,0.9656,Caution
tr_img_06037,1107.0,878.8,1097.0,515.5,滑りくりぐ,0.7119,Sliding
tr_img_06037,754.5,1800.2,494.0,298.5,入荷,0.9415,In stock
tr_img_06037,926.2,2011.2,570.5,217.5,é半20,0.8979,é half 20
tr_img_06031,1479.0,1176.0,1776.0,228.0,中の島1条3丁目,0.9182,Nakajima 1-jo 3-chome
tr_img_06038,1003.2,931.0,179.5,58.0,コヨマ,0.5884,Coyoma
tr_img_06038,1307.2,940.8,329.5,78.5,ツつマップ,0.6848,Twisted map
tr_img_06038,1537.2,1217.8,2672.5,207.5,単テメ一デイイをはめよー,0.621,Put on one day
tr_img_06038,1551.5,1449.8,1799.0,103.5,自分好みに組み合わせて音の追求を愉しもう。,0.9955,Combine it to your liking and enjoy pursuing sound.
tr_img_06036,1222.5,197.2,1030.0,150.5,静鉄新清水駅,0.9609,Shizutetsu Shinshimizu Station
tr_img_06036,1238.0,653.2,1117.0,141.5,静岡市役所清水庁舎,0.9971,Shizuoka City Hall Shimizu Office Building
tr_img_06036,1212.0,1112.8,1108.0,172.5,清水マリンパーク,0.9949,Shimizu Marine Park
tr_img_06033,912.0,1278.8,444.0,195.5,三保,0.9976,Miho
tr_img_06033,1563.8,1288.5,566.5,179.0,清水港,0.999,Shimizu Port
tr_img_06033,1867.8,1832.0,438.5,202.0,船越,0.9967,Funakoshi
tr_img_06041,1070.2,789.0,320.5,95.0,最大料金あり,0.999,Maximum fee available
tr_img_06041,1047.2,934.2,265.5,127.5,空車,0.9474,Empty car
tr_img_06039,1272.8,1164.5,549.5,82.0,南14条西9丁目,0.9988,Minami 14jo Nishi 9-chome
tr_img_06042,1715.2,762.0,2492.5,494.0,ドりクお通レ,0.7913,A thud
tr_img_06045,574.5,1099.0,461.0,139.0,日本橋,0.9991,Nihonbashi
tr_img_06045,575.8,1264.0,463.5,136.0,人形町,0.9477,Ningyocho
tr_img_06045,561.8,1443.0,488.5,164.0,一丁目,0.9586,First
tr_img_06040,866.5,293.0,697.0,152.0,清水郵便局,0.9618,Shimizu Post Office
tr_img_06040,1860.5,300.8,484.0,132.5,清水駅西口,0.9998,Shimizu Station West Exit
tr_img_06040,1937.8,428.2,632.5,142.5,白転車等駐車場,0.9477,White car parking lot
tr_img_06040,998.8,524.5,238.5,91.0,人口天,0.9617,Population
tr_img_06040,1245.0,521.2,231.0,99.5,学利子,0.6068,Student interest
tr_img_06040,662.0,530.8,293.0,78.5,清水邸局,0.9695,Shimizu Residence Bureau
tr_img_06040,1850.8,644.2,500.5,60.5,清永站西口自行牟等存本姚,0.8094,Qingyingyang Station West Exit Jigyomu etc. are available
tr_img_06040,810.0,875.8,932.0,139.5,清水簡易裁判所,0.9876,Shimizu Summary Court
tr_img_06040,589.8,1080.5,477.5,83.0,清水簡易裁判所,0.9501,Shimizu Summary Court
tr_img_06040,1375.8,1080.5,225.5,82.0,利平企,0.7231,Rihei
tr_img_06040,997.0,1085.2,248.0,78.5,人口天,0.9351,Population
tr_img_06040,686.2,1222.2,633.5,147.5,清水税務署,0.9753,Shimizu Tax Office
tr_img_06040,536.2,1412.8,327.5,80.5,清水税局,0.9827,Shimizu Tax Bureau
tr_img_06040,866.5,1422.2,219.0,78.5,人口天,0.9725,Population
tr_img_06040,1098.5,1422.2,206.0,78.5,川早全,0.7073,Kawahayazen
tr_img_06040,1002.0,1554.5,838.0,117.0,は一とびあ清水,0.9379,Haichitobias Kiyomizu
tr_img_06040,2003.8,1690.0,174.5,90.0,人口,0.9649,population
tr_img_06040,913.2,1739.0,668.5,96.0,静市清水社会福祉会槍,0.9261,Shizuichi Shimizu Social Welfare Association
tr_img_06040,1451.2,1734.0,405.5,100.0,「Heartpia清水],0.96,"""Heartpia Shimizu"""
tr_img_06040,921.5,1869.5,620.0,118.0,観光案内所,0.9973,Tourist Information Center
tr_img_06040,1712.2,1847.5,568.5,146.0,バス案内所,0.9929,Bus information center
tr_img_06040,1836.2,2003.5,132.5,73.0,H人,0.7111,H person
tr_img_06040,784.5,2038.0,360.0,90.0,光介昭所,0.8238,Kosuke Shosho
tr_img_06040,1593.0,2025.2,335.0,97.5,巴士向滴姚,0.8312,Tomoji Dyūyao
tr_img_06043,1076.8,521.8,66.5,94.5,芝,0.9999,Grass
tr_img_06043,1082.2,630.0,199.5,83.0,五丁目,0.9987,Fifth Street
tr_img_06046,1597.0,768.5,1855.0,251.0,南13条西18T目,0.8266,Minami 13-jo West 18th
tr_img_06044,1600.0,1047.0,945.0,110.0,平岸1条1丁目,0.883,Hiragishi 1-jo 1-chome
tr_img_06047,1507.2,1417.5,1405.5,262.0,ス尾ジンギスカン,0.8283,Suo Jingisu Kan
tr_img_06047,1521.5,1627.0,513.0,125.0,北海道名物,0.9479,Hokkaido specialty
tr_img_06047,1527.8,1826.5,371.5,103.0,南1条店,0.9939,Minami 1jo Store
tr_img_06051,1312.8,948.0,102.5,204.0,中央,0.6551,Central
tr_img_06051,1256.5,1695.2,251.0,1209.5,中島会司,0.5806,Nakajima Kaiji
tr_img_06053,1287.0,1225.2,510.0,148.5,之橋北詰,0.9994,Nobashi Kitazume
tr_img_06049,944.0,1042.8,237.0,1399.5,調布市板ヶ丁丘3,0.5099,"3 Itagachooka, Chofu City"
tr_img_06049,906.2,1916.5,356.5,103.0,彭信用金庫,0.8979,Peng Shinkin Bank
tr_img_06048,907.2,1305.2,311.5,73.5,エキバパ,0.8327,Exhaustral
tr_img_06048,1759.0,1502.5,579.0,80.0,(パレシェ,0.7858,(Parechet)
tr_img_06048,1085.5,1508.5,740.0,88.0,ショッピング街,0.9239,Shopping district
tr_img_06054,1959.2,704.5,2810.5,756.0,アルカイースト,0.9994,Al-Chaisto
tr_img_06055,985.8,181.2,396.5,127.5,八幡山,0.9983,Mt. Hachiman
tr_img_06055,581.5,456.5,616.0,67.0,当駅構内施設の階層図,0.9987,A hierarchical map of facilities within our station
tr_img_06055,1348.5,553.5,194.0,52.0,男子トイレ,0.9875,Men's toilet
tr_img_06055,418.8,558.5,117.5,36.0,案内所,0.9997,Information Center
tr_img_06055,948.0,561.0,269.0,36.0,エスカレーター,0.9604,escalator
tr_img_06055,476.0,645.2,238.0,51.5,きつぷつりば,0.9447,Tick-up
tr_img_06055,1352.2,640.2,191.5,41.5,女子トイレ,0.9941,Women's Toilet
tr_img_06055,1394.0,724.2,280.0,56.5,だれでもトイレ,0.998,Anyone can use toilets
tr_img_06055,427.8,734.2,126.5,52.5,侍合室,0.8856,Samurai room
tr_img_06055,950.5,733.2,258.0,43.5,コインロッカー,0.9694,Coin lockers
tr_img_06055,1112.2,816.0,367.5,51.0,自動体外式除細動器,0.9713,Automatic external defibrillator
tr_img_06055,467.0,822.2,219.0,43.5,エレベータ,0.9749,Elevator
tr_img_06055,725.0,928.2,407.0,46.5,現在地から地上までの,0.9622,From your current location to the ground
tr_img_06055,734.2,977.8,409.5,43.5,バリアフリー主要ルート,0.9509,Main routes for barrier-free access
tr_img_06055,1397.8,1102.8,179.5,55.5,京王八壬子,0.9158,Keio Hachimiko
tr_img_06055,1497.0,1141.0,73.0,38.0,橋本,0.9525,Hashimoto
tr_img_06055,1567.2,1141.0,62.5,38.0,方面,0.9276,Area
tr_img_06055,1386.0,1143.8,150.0,44.5,高尾山口,0.9983,Takao Mountain Exit
tr_img_06055,547.8,1161.5,104.5,28.0,現在銀,0.7054,Currently silver
tr_img_06055,344.2,1180.8,151.5,35.5,ホーム階,0.9289,Home floor
tr_img_06055,1081.0,1216.2,91.0,35.5,改札階へ,0.9218,To the ticket gate floor
tr_img_06055,430.2,1499.5,78.5,41.0,新宿,0.9956,Shinjuku
tr_img_06055,497.0,1498.0,60.0,28.0,方面,0.6785,Area
tr_img_06055,1490.2,1826.0,191.5,42.0,コンコース噌,0.8894,Concourse miso
tr_img_06055,313.0,1926.5,132.0,39.0,地上出口へ,0.9842,To the ground exit
tr_img_06055,1238.8,2054.0,109.5,28.0,ホーム階へ,0.9152,Go to the home floor
tr_img_06055,807.2,2068.0,66.5,27.0,一ム,0.8017,Im
tr_img_06057,1572.0,873.0,2191.0,308.0,東ナ区ッのイ条キイ校,0.614,Ijokii School in Higashina Ward
tr_img_06052,1192.0,379.5,412.0,123.0,豊平区,0.9922,Toyohira Ward
tr_img_06052,1197.0,1740.2,306.0,2409.5,木車町8丁目2,0.6811,Kishacho 8-chome 2
tr_img_06052,1385.2,1123.0,45.5,66.0,や,0.9993,or
tr_img_06052,1380.2,1438.0,80.5,224.0,ちよう,0.8673,Let's go
tr_img_06056,977.8,1417.5,1403.5,185.0,南14条西16丁目,0.9161,Minami 14-jo Nishi 16-chome
tr_img_06058,1165.5,212.5,300.0,147.0,日本橋,0.9995,Nihonbashi
tr_img_06058,1167.0,383.0,297.0,144.0,小舟町,1.0,Kofune Town
tr_img_06062,863.2,1031.5,151.5,1054.0,奈西四川,0.5217,Nanishi Shikawa
tr_img_06063,707.0,1256.5,267.0,127.0,麺屋,0.818,Menya
tr_img_06064,344.5,260.0,240.0,38.0,ホ一ム傾斜に注意,0.9433,Be careful of the slope
tr_img_06064,347.2,388.2,512.5,46.5,車いす、べビ一力一をご利用のお客さま,0.9588,For customers using wheelchairs and Bebi Irikiichi
tr_img_06064,372.8,510.8,484.5,40.5,ホ一ムには水はけのため傾斜がごき,0.9392,The water is drained so there is a slope.
tr_img_06064,155.2,557.2,101.5,29.5,います。,0.88,I'm here.
tr_img_06064,539.5,588.8,153.0,28.5,車輪が線路,0.9764,Wheels are tracks
tr_img_06064,292.8,593.8,313.5,32.5,ホ一ムでお待ちの際は、,0.9322,"When waiting at Hoimu,"
tr_img_06064,364.5,633.0,501.0,41.0,と平行になるように停め、必ずづレ一,0.9498,Stop it parallel to the
tr_img_06064,364.0,672.0,498.0,33.0,キをおかけいただくようお願いいたし,0.9559,Please send me your message
tr_img_06064,149.8,714.0,67.5,29.0,ます。,0.9604,Masu.
tr_img_06064,535.5,826.5,168.0,26.0,十条駅長,0.921,Jujo Station Manager
tr_img_06061,654.0,2636.5,759.0,226.0,勝田台駅,0.9995,Katsutadai Station
tr_img_06061,633.0,2866.5,179.0,65.0,駐田台站,0.9366,Tsudadai Station
tr_img_06061,422.0,2874.2,176.0,67.5,勝田台站,0.9272,Katsutadai Station
tr_img_06066,1715.2,1134.0,2004.5,798.0,清水相生町,0.971,Shimizu Aioicho
tr_img_06067,532.8,443.0,188.5,46.0,日・祝・月,0.9923,"Sundays, holidays, and Mondays"
tr_img_06067,871.5,445.8,281.0,44.5,火・水・木・金,0.9975,"Tue, Wednesday, Thursday, Friday"
tr_img_06067,1267.2,448.5,44.5,35.0,土,0.6359,soil
tr_img_06067,530.8,551.2,92.5,48.5,休診,0.9997,Closed
tr_img_06067,542.0,702.2,109.0,62.5,歯科,0.9991,Dentistry
tr_img_06067,895.5,698.2,207.0,46.5,小児歯科,0.9993,Pediatric Dentistry
tr_img_06067,1281.0,694.8,195.0,50.5,燭正歯科,0.8439,Candetist
tr_img_06067,933.5,867.8,991.0,112.5,土ズ雅歯札医院,0.6278,Dozu Miyabi Cafe Clinic
tr_img_06069,1364.0,903.5,1582.0,178.0,南12条西1３丁目,0.8902,Minami 12-jo Nishi 13-chome
tr_img_06071,892.5,387.5,1203.0,149.0,渋江サッシ株式会社,0.8963,"Shibue Sash Co., Ltd."
tr_img_06068,1083.8,220.8,140.5,79.5,中原区,0.9984,Nakahara Ward
tr_img_06072,971.0,208.0,161.0,52.0,ナ,0.6419,Na
tr_img_06072,1096.2,497.2,108.5,54.5,この,1.0,this
tr_img_06072,1026.5,555.2,295.0,56.5,ニ却nしてくた,0.5934,I've been rejecting
tr_img_06072,474.8,583.5,383.5,62.0,3ロ海413円,0.5529,3 Rokai 413 yen
tr_img_06072,564.5,711.0,501.0,90.0,静岡市役所,0.9997,Shizuoka City Hall
tr_img_06072,1000.5,712.2,281.0,92.5,清水庁,0.9409,Shimizu Agency
tr_img_06072,1488.5,1141.0,124.0,535.0,地町,0.5951,Jicho
tr_img_06070,1504.0,574.5,61.0,139.0,ロ口,0.7092,Roku
tr_img_06070,1495.8,861.5,106.5,520.0,去板,0.5891,Leave the board
tr_img_06074,1762.0,1124.0,1138.0,116.0,三鷹市里予473,0.7136,"473 Satoyo, Mitaka City"
tr_img_06075,355.5,250.2,269.0,110.5,バス,0.9967,bus
tr_img_06075,554.0,304.8,154.0,94.5,を除く,0.9987,Excluding
tr_img_06075,341.2,342.8,246.5,97.5,タクシー,0.9367,taxi
tr_img_06075,1342.0,679.2,809.0,93.5,浄岡市役所消水庁舎,0.8386,Jooka City Hall Water Suppression Office
tr_img_06075,1532.2,1084.2,211.5,76.5,ホデ,0.5147,Hode
tr_img_06075,1526.0,1162.2,280.0,76.5,サシホート,0.5558,Sashihot
tr_img_06077,312.8,490.8,360.5,205.5,東北,0.9214,Tohoku
tr_img_06077,406.2,649.0,520.5,176.0,行こラ!,0.8158,Let's go!
tr_img_06077,349.2,970.8,176.5,45.5,新幹線で,0.913,On the Shinkansen
tr_img_06077,389.2,1008.8,256.5,50.5,ちよっといい旅,0.9634,A good trip
tr_img_06073,1664.0,2461.8,74.0,34.5,平区,0.8654,Hira Ward
tr_img_06073,1673.5,2745.2,75.0,539.5,4の島1条3丁目3,0.8003,4th Island 1-jo 3-chome 3
tr_img_06079,885.0,554.0,985.0,113.0,感染症防正のたみ,0.9035,Preventing infectious diseases
tr_img_06079,1746.8,567.2,557.5,113.5,石験による,0.9195,By stone test
tr_img_06079,1115.5,743.2,1447.0,126.5,手洗いを励行してください,0.9851,Please wash your hands
tr_img_06079,1231.8,1517.8,923.5,78.5,財務局管財グループノOIFice,0.8607,"OIFice, Finance Bureau Trustee Group"
tr_img_06076,1055.2,547.8,442.5,78.5,入庫後24時間以内,0.9996,Within 24 hours after arrival
tr_img_06076,1148.0,628.2,271.0,100.5,500円,0.9991,500 yen
tr_img_06076,918.0,618.5,148.0,45.0,月金,0.9999,Month and Fri
tr_img_06076,584.5,647.8,269.0,78.5,最大料金,0.9993,Maximum fee
tr_img_06076,1668.0,654.0,521.0,65.0,最大料金は入庫時点の曜日,0.9952,Maximum fee is the day of the week at the time of arrival
tr_img_06076,2002.0,663.5,148.0,45.0,祝目を,0.8194,Celebration
tr_img_06076,1184.2,720.0,322.5,88.0,1 000円,0.9124,1 000 yen
tr_img_06076,921.5,713.5,148.0,48.0,土日祝,0.9651,"Saturdays, Sundays, and holidays"
tr_img_06076,1606.5,720.0,385.0,56.0,基準に適用されます,0.9994,Applies to standards
tr_img_06076,1121.5,789.2,574.0,58.5,0最大料金は入庫時の曜目。視目により異なります。,0.9146,0The maximum fee is the day you enter the store. It depends on the view.
tr_img_06076,1638.0,802.2,423.0,52.5,最大料金は繰り返し適用となります。,0.9865,The maximum fee will be applied repeatedly.
tr_img_06076,1094.8,989.2,170.5,99.5,60分,0.9987,60 minutes
tr_img_06076,1286.8,993.8,214.5,102.5,200円,0.9998,200 yen
tr_img_06076,1997.2,1006.8,204.5,96.5,200円,0.9994,200 yen
tr_img_06076,576.5,997.2,265.0,67.5,通常料金,0.9999,Regular price
tr_img_06076,915.0,986.0,148.0,45.0,月金,0.9986,Month and Fri
tr_img_06076,1817.8,1006.8,176.5,80.5,60分!,0.7723,60 minutes!
tr_img_06076,1638.0,1003.5,151.0,48.0,月金,0.9998,Month and Fri
tr_img_06076,1096.2,1082.2,167.5,99.5,60分,0.9997,60 minutes
tr_img_06076,1288.2,1084.0,210.5,96.0,300円,0.9998,300 yen
tr_img_06076,1806.5,1092.8,164.0,99.5,60分,0.9883,60 minutes
tr_img_06076,913.5,1079.2,151.0,45.5,土日祝,0.9314,"Saturdays, Sundays, and holidays"
tr_img_06076,2008.0,1100.2,182.0,95.5,100円,0.9999,100 yen
tr_img_06076,1636.2,1092.0,135.5,45.0,土日祝,0.9565,"Saturdays, Sundays, and holidays"
tr_img_06076,704.2,1206.2,658.5,48.5,太０ご利用の際は、場内の約款看板をご確認ください。,0.9226,"When using Tai0, please check the terms and conditions signs inside the venue."
tr_img_06076,1423.8,1214.5,195.5,39.0,リパークコ一ルセンタ,0.693,Repark Coichi Lucenta
tr_img_06076,1112.0,1338.8,367.0,101.5,三井のリパーク,0.9056,Mitsui's Repark
tr_img_06076,579.5,1335.5,422.0,42.0,三井不動産リアルテイ札幌株式会社,0.9444,"Mitsui Fudosan Realté Sapporo Co., Ltd."
tr_img_06076,1562.5,1346.5,208.0,71.0,札院帝14西6,0.6821,Sapporo Emperor 14 West 6
tr_img_06076,1392.2,1341.8,94.5,35.5,駐連場名,0.9151,Parking name
tr_img_06076,1897.8,1515.8,223.5,35.5,住まいの売却,0.9978,Selling your home
tr_img_06076,2072.8,1515.8,113.5,35.5,購入は,1.0,Purchase
tr_img_06076,699.2,1528.5,302.5,42.0,法人専用カ一ドで,0.9307,With a corporate-only card
tr_img_06076,1363.8,1544.8,422.5,61.5,駐車場用地募集中,0.9882,We are looking for parking lots
tr_img_06076,707.2,1565.5,324.5,45.0,キャッシュレス精算,0.9894,Cashless settlement
tr_img_06076,1318.2,1622.2,570.5,48.5,土地の有効活用駐車場管理はお任せください,0.9919,"Leave the management of parking lots to us, effective use of land"
tr_img_06076,1959.2,1660.8,371.5,54.5,ミ井のリハウス,0.8397,Mii's Rehouse
tr_img_06076,1315.0,1673.5,501.0,42.0,井不動産リアルテイ札幌株式会社,0.9813,"I Fudosan Realté Sapporo Co., Ltd."
tr_img_06076,647.2,1718.8,488.5,48.5,歩郡0120-201-321,0.8584,Ayumu District 0120-201-321
tr_img_06076,1313.5,1759.0,416.0,32.0,太故障等の連絡先ではの6ません人,0.792,6 people who are not in contact with the contact information for severe breakdowns etc.
tr_img_06076,650.5,1765.5,432.0,39.0,太故障等の連絡先ではありません公,0.9327,"This is not a contact information for severe breakdowns, etc."
tr_img_06081,1508.8,704.0,467.5,230.0,置番号,1.0,Place number
tr_img_06081,947.2,685.0,487.5,190.0,駐車位,0.971,Parking position
tr_img_06081,1196.8,2039.5,1268.5,175.0,使用方法,0.9707,How to use
tr_img_06081,543.0,2228.8,629.0,104.5,1駐車のとき,0.9785,1 When parking
tr_img_06081,1250.0,2390.8,1573.0,133.5,白線内の中央に駐車してください。,0.985,Please park in the center of the white line.
tr_img_06081,723.2,2537.2,550.5,97.5,一定時間後,0.9999,A certain amount of time later
tr_img_06081,1601.0,2543.8,1045.0,117.5,ロック板が上がります。,0.9348,The lock board rises.
tr_img_06081,586.2,2701.2,767.5,104.5,2。お帰りのとき,0.8998,2. When you go home
tr_img_06081,1064.8,2855.5,1221.5,98.0,精算機で料金を支払った後,0.9672,After paying the fee at the checkout machine
tr_img_06078,1568.5,713.8,1299.0,384.5,つM25,0.6776,M25
tr_img_06078,1553.0,1098.5,1221.0,327.0,久の対応,0.7139,Long-time response
tr_img_06078,1778.2,1393.2,1018.5,113.5,の粒子を99％キャツチ系,0.9674,99% catheter-based particles
