Image,Total_Boxes,Avg_Conf,Japanese_Texts
tr_img_06032,3,0.8850,"やきとり家 (0.993) | すみれ (0.999)"
tr_img_06033,9,0.9934,"三保 (0.995) | 清水港 (0.998) | 船越 (0.997)"
tr_img_06034,0,0.0000,""
tr_img_06035,2,0.6696,"三本大車吉 (0.528) | 近足主張売しています (0.811)"
tr_img_06036,20,0.9634,"静鉄新清水駅 (0.953) | 静岡市役所清水庁舎 (0.996) | 清水マリンパーク (0.994)"
tr_img_06037,5,0.8120,"滑りくいぐ (0.705) | 入荷 (0.958) | してます (0.986)"
tr_img_06038,3,0.8175,"ソフマップ (0.794) | 羊テオ一デイをはめよー (0.663) | 自分好みに組み合わせて音の追求を愉しもう。 (0.996)"
tr_img_06039,2,0.9988,"南14条西9丁目 (1.000)"
tr_img_06040,46,0.9290,"清水郵便局 (0.950) | 清水駅西口 (0.926) | 白転車等駐車場 (0.893) | 人I口天 (0.879) | 清水邸局 (0.962) | 清永站西口自行牟等存本姚 (0.829) | 清水簡易裁判所 (0.987) | 清水簡易裁判所 (0.922) | 利平企 (0.679) | 人口天 (0.951) | 清水税務署 (0.998) | 清水税局 (0.983) | 人口天 (0.974) | 川早全 (0.738) | は一とびあ清水 (0.932) | 人口天 (0.843) | 静市清水社会福祉会槍 (0.924) | 「Heartpia清水] (0.962) | 観光案内所 (0.999) | バス案内所 (0.938) | 印人 (0.746) | 光介昭所 (0.825) | 巴士向滴姚 (0.852)"
tr_img_06041,2,0.9484,"最大料金あり (0.992) | 空車 (0.905)"
tr_img_06042,2,0.8681,"ドりクお通レ (0.799)"
tr_img_06043,5,0.9039,"芝 (0.999) | 五丁目 (0.998) | アhK (0.563)"
tr_img_06044,2,0.9451,"平岸1条1丁目 (0.893)"
tr_img_06045,4,0.9687,"日本橋 (0.998) | 人形町 (0.928) | 一丁目 (0.950)"
tr_img_06046,2,0.8991,"南13条西18T目 (0.802)"
tr_img_06047,3,0.8738,"ス尾ジンギスカン (0.675) | 北海道名物 (0.955) | 南1条店 (0.992)"
tr_img_06048,6,0.8679,"エキバパ (0.867) | つ (0.628) | パレシェ (0.924) | ショッピン街 (0.902)"
tr_img_06049,1,0.9451,"芝信用金庫 (0.945)"
tr_img_06050,1,0.5818,"五た町1 (0.582)"
tr_img_06051,2,0.6189,"中央区 (0.716) | 中島目 (0.521)"
tr_img_06052,5,0.8446,"豊平区 (0.985) | 木車町8丁目二 (0.693) | すい (0.650) | や (1.000) | ちよう (0.896)"
tr_img_06053,4,0.9946,"一之橋北詰 (1.000)"
tr_img_06054,2,0.9706,"アルカイースト (0.999)"
tr_img_06055,49,0.8501,"八幡山 (0.998) | 当駅構内施設の階層図 (0.999) | 男子トイレ (0.985) | 案内所 (1.000) | エスカレーター (0.989) | きつふつりば (0.828) | 女子トイレ (0.994) | だれでもトイレ (0.994) | 侍合室 (0.890) | コインロッカー (0.968) | 自動体外式除細動器 (0.950) | エレベータ (0.933) | 現在地から地上までの (0.998) | バリアフリー主要ルート (0.944) | 京王八壬子 (0.866) | 橋本 (0.978) | 刃面 (0.709) | 高尾山口。 (0.873) | 現在銀 (0.709) | ホーム階 (0.930) | ごでは階へ (0.573) | 改札階へ (0.838) | 新宿 (0.997) | 方面 (0.727) | コンコース階 (0.885) | 地上出口へ (0.962) | ホーム階へ (0.731)"
tr_img_06056,2,0.9522,"南14条西16丁目 (0.928)"
tr_img_06057,1,0.5517,"業サ区ッ人の業・イ校 (0.552)"
tr_img_06058,2,0.9994,"日本橋 (0.999) | 小舟町 (1.000)"
tr_img_06059,0,0.0000,""
tr_img_06060,1,1.0000,""
tr_img_06061,6,0.8633,"勝田台駅 (0.999) | 外日日08 (0.500) | 駐田台站 (0.774) | 勝田台站 (0.919)"
tr_img_06062,4,0.8757,"泉野四上川 (0.514)"
tr_img_06063,1,0.8370,"麺屋 (0.837)"
tr_img_06064,10,0.9237,"ホ一ム頃斜に注意 (0.879) | 車いす、べビ一力一をご利用のお客さま (0.974) | ホ一ムには水はけのため傾斜がごき (0.929) | います。 (0.933) | 軍輪が線路 (0.900) | ホ一ムでお待ちの際は、 (0.945) | と平行になるように停め、必ずづレ一 (0.928) | キをおかけいただくようお願いいたし (0.947) | ます。 (0.864) | 十条駅長 (0.938)"
tr_img_06065,0,0.0000,""
tr_img_06066,3,0.9516,"清水相生町 (0.991)"
tr_img_06067,14,0.8776,"日・祝・月 (0.997) | 火・水・木・金 (0.997) | 土 (0.835) | 休診 (1.000) | 歯科 (1.000) | 小児歯科 (1.000) | 僑正歯科 (0.827) | 木ズ雄菊札医院 (0.608) | o4d-7イo-o39s (0.556)"
tr_img_06068,5,0.9524,"中原区 (0.999)"
tr_img_06069,2,0.9616,"南12条西1３目 (0.931)"
tr_img_06070,1,0.7288,"ロロ (0.729)"
tr_img_06071,1,0.8822,"渋江サッシ株式会社 (0.882)"
tr_img_06072,17,0.7776,"世山0 (0.554) | のご (0.714) | 三コ口してくた (0.633) | 3頃本413m (0.557) | 静岡市役所 (1.000) | 清水庁 (0.991) | 地町 (0.508)"
tr_img_06073,2,0.6298,"羽区 (0.523) | 中の目1条3丁目3 (0.736)"
tr_img_06074,1,0.6318,"三鷹市北里予江一の (0.632)"
tr_img_06075,9,0.8928,"バス (0.998) | を除く (0.999) | タクシー (0.954) | 浄岡市役所清水庁舎 (0.879) | サニルート (0.506)"
tr_img_06076,49,0.9391,"入庫後24時間以内 (1.000) | 500円 (0.999) | 月金 (1.000) | 最大料金 (0.999) | 最大料金は入庫時点の曜日 (0.979) | 祝目を (0.784) | 1,000円 (0.957) | 土日祝 (0.964) | 基準に適用されます (0.999) | 0最大料金は入庫時の曜目祝日により異なります。 (0.934) | 最大料金は繰り返し適用となります。 (0.991) | 60分 (0.998) | 200円 (1.000) | 200円 (0.999) | 通常料金 (1.000) | 月金 (0.998) | 60分 (0.814) | 月金 (1.000) | 60分 (1.000) | 300円 (1.000) | 60分 (0.990) | 土日祝 (0.923) | 100円 (1.000) | 土日祝 (0.962) | 太０ご利用の際は、場内の約款看板をご確認ください。 (0.918) | リパークコ一ルセンタ (0.679) | 三井のリパ一ク (0.887) | 三井不動産リアルテイ札幌株式会社 (0.949) | 札院帝14西6 (0.699) | 駐連場名 (0.929) | 住まいの売却 (0.998) | 購入は (1.000) | 法人専用方 (0.892) | 駐車場用地募集中 (0.987) | キャッシュレス精算 (0.992) | 土地の有効活用駐車場管理はお任せください (0.983) | ミ井のリハウス (0.876) | 井不動産リアルテイ札幌株式会社 (0.980) | 禁親ロ0120-201-321 (0.834) | 太故障等の運絡先ではあ6ません人 (0.804) | 太故障等の運絡先ではありません公 (0.926)"
tr_img_06077,4,0.8765,"東北 (0.900) | 行こラ! (0.755) | 新幹線で (0.903) | ちよっといい旅 (0.948)"
tr_img_06078,13,0.8584,"への対寸応 (0.657) | 01〜25mの粒子を99％キャツチ系 (0.920) | 換気等による屋外からの新たな粒子の侵入は考慮しておりません。 (0.999) | øpい2らとは２5üú以下の微小粒子状物質の総称です。 (0.817) | この空気清浄機では0前 (0.898) | 有害物質のすべてを除去できるものではありません (0.959) | ø32ñ(約8畳)の密閉空間での効果であり実使用空間での結果ではありません。 (0.965) | 彩試美方法・昌本電機工美会親格山信小4のみ) (0.572) | 判定基準:0125umの (0.871) | 微小粒子状物質を32(約8畳)の密開空間で99％際去する時間が (0.936) | 90分以内であること(82ぶ(約8畳)の試験空間に (0.928) | 換算した値です。 (0.948)"
tr_img_06079,18,0.9616,"感染症防正のたみ (0.912) | 石鹸による (0.916) | 手洗いを励行してください (0.984) | 財務局管財グルーブノOIFice (0.840)"
tr_img_06080,6,0.7506,"大好き札幌 (0.643) | 新駐車禁正 (0.875) | 断駐車管理受託会社 (0.954) | クツカー18部 (0.500) | けんげち (0.531) | 中川賢一事務所連絡所 (1.000)"
tr_img_06081,9,0.9572,"置番号 (1.000) | 駐車位 (0.988) | 使用方法 (0.893) | I駐車のとき (0.944) | 白線内の中央に駐車してください。 (0.978) | 一定時間後; (0.900) | ロック板が上がります (0.958) | 2お帰りのとき (0.987) | 精算機で料金を支払った後 (0.968)"
tr_img_06082,5,0.7824,"十条 (0.861) | 李丞 (0.788)"
tr_img_06083,3,0.9895,"成城 (0.970) | 六丁目 (0.998)"
tr_img_06084,7,0.8433,"やきとり家 (0.993) | すみれ (0.995) | 笑 (0.994)"
tr_img_06085,7,0.9372,"車検 (0.983) | 点検 (1.000) | オイル交換 (0.918) | 板金・塗装 (0.993)"
tr_img_06086,4,0.9944,"日本橋 (1.000) | 人形町 (0.999) | 二丁目 (0.980)"
tr_img_06087,2,0.9701,"平岸条2丁目 (0.942)"
tr_img_06088,5,0.8328,"世田谷区 (0.891) | 田市 (0.540)"
tr_img_06089,4,0.9976,"日本橋 (0.999) | 人形町 (0.999) | 丁目 (0.998)"
tr_img_06090,0,0.0000,""
tr_img_06091,1,0.9951,"豊平区 (0.995)"
tr_img_06092,8,0.7907,"おすめ! (0.530) | 2次会 (0.997) | 名板見によ (0.762) | で (0.744) | ちん (0.955) | 年2000 (0.963)"
tr_img_06093,5,0.8605,"中島ム園キャラリー (0.870)"
tr_img_06094,14,0.9693,"川根本町 (1.000) | 浜松 (0.999) | 沼津 (0.981) | 藤枝 (0.999) | 富士 (0.983) | 静清ＢＰ (0.916) | この先200ｍ (0.976)"
tr_img_06095,4,0.7967,"豊平区 (0.998) | 中の目1条2丁目4 (0.687) | なか (0.638) | ま (0.864)"
tr_img_06096,3,0.7938,"LＥDを使用してします (0.886) | 御茶ノ水 (0.601)"
tr_img_06097,4,0.9499,"国1七ツ新屋 (0.970) | 交差点南東 (0.993) | 島崎町 (0.856)"
tr_img_06098,0,0.0000,""
tr_img_06099,12,0.9261,"ネクステッブ (0.970) | 時間 (0.984) | 西ミパーキシグ (0.867) | 時間貸 (0.954) | 30分/ (0.915) | 100円 (0.947) | 60分 (1.000) | 100円 (0.996)"
tr_img_06100,1,0.9922,"得! (0.992)"
tr_img_06101,4,0.9828,"市役所 (1.000) | 清水庁舎 (0.999)"
tr_img_06102,4,0.6768,"豊平区 (0.989) | 中の護条1二5 (0.501) | なな (0.541) | しま (0.677)"
tr_img_06103,2,0.7700,"周神中都ヶ丘2ー41一80 (0.555) | 内 (0.985)"
tr_img_06104,13,0.9098,"中庫時のご注意 (0.892) | 確認 (0.974) | 精算後、必ず (0.915) | して (1.000) | ください (0.986) | コツク板を (0.944) | 入出庫不可 (0.965) | 入出庫可 (0.877) | ロック板によリ車両が損傷しても (0.909) | X車民15Cｍ以下の (0.779) | 補償致しかねます (0.960) | お車はご利用できません (0.998)"
tr_img_06105,8,0.7514,"番ドア (0.993) | 号車 (0.880) | ゴゴの (0.679) | 女性専用車 (0.957) | の (0.823)"
tr_img_06106,4,0.9696,"中原区 (0.999) | 木月 (0.991) | 4丁目 (0.988)"
tr_img_06107,1,0.5919,"平成3半戸き目 (0.592)"
tr_img_06108,2,0.8362,"中央区 (0.999) | 南い条団1丁目1 (0.673)"
tr_img_06109,0,0.0000,""
tr_img_06110,16,0.8817,"JR清水駅 (1.000) | 羽衣の心 (0.601) | 能 (1.000) | 羽荻 (0.687) | に名高い (0.992) | 羽衣の松 (0.999)"
tr_img_06111,14,0.7246,"の (0.738) | フリー (0.869)"
tr_img_06112,3,0.7440,"涌用口 (0.682) | 中山校夫 (0.801) | ミ鷹ホ北野4一5一! (0.749)"
tr_img_06113,8,0.6694,"食攻是真 (0.617) | 洋 (0.579) | 2寺門 (0.612) | 4名様以上 (0.631) | 予製) (0.508) | ギしくは店内にて (0.905)"
tr_img_06114,4,0.8462,"警催実地中 (0.715)"
tr_img_06115,2,0.7807,"トマト (0.844) | オ-レ (0.718)"
tr_img_06116,29,0.8938,"ロ山バスターミナル (0.893) | 出人印印目 (0.624) | 早0I (0.573) | 圓山公共汽王冬起站 (0.852) | 圓山巴士總站 (0.957) | 円山公園 (0.994) | 圓山公園 (0.936) | 圓山公園 (1.000) | 北海道神宮 (0.999) | 外0I臣 (0.568) | 北海道神宮 (0.981) | 円山動物園 (0.999) | 畳呂 (0.731) | 圓山劫物園 (0.728) | 圓山動物園 (0.999) | 以ロ色理道和観市御光ンペンション部 (0.575)"
tr_img_06117,16,0.9083,"新静岡駅 (0.998) | 御幸町 (1.000) | 県庁 (1.000) | 静岡鉄道 (1.000) | 新静図站 (0.903) | 四人引ą (0.518) | 御幸町 (1.000) | 山元引季 (0.636) | 具 (0.991) | 業時間 (0.993) | 番0日1午後8時 (0.698) | 年前10時1年後7月30分 (0.810)"
tr_img_06118,2,0.9433,"中の島1条3丁目 (0.965)"
tr_img_06119,0,0.0000,""
tr_img_06120,2,0.7655,"ー・クラフト (0.855) | ホビ (0.676)"
tr_img_06121,1,0.9954,"北海学園 (0.995)"
tr_img_06122,1,0.9996,"社会福祉事業所 (1.000)"
tr_img_06123,2,0.7074,"予３西 (0.535)"
tr_img_06124,8,0.9498,"作与当専店 (0.692) | 体にやさしい厳選された素材を (0.991) | 当店スタッフが丁 (0.965) | 寧に調理し (0.987) | 美味しいお弁当ができました。 (0.995)"
tr_img_06125,4,0.8686,"屋外広告物許司 (0.915) | 緑ヶ丘 (0.887) | 2一41 (0.878)"
tr_img_06126,12,0.8166,"シーバ (0.994) | とろ～り (0.878) | まぐろ味セレクション (0.966) | まぐろ味 (0.994) | まぐろとシーフード味 (0.949) | 味 (0.793) | 味 (0.654) | 味 (0.960)"
tr_img_06127,0,0.0000,""
tr_img_06128,6,0.8419,"プレミアム (0.993) | 便ご (0.877) | 銕使 (0.764) | 姿納芋ソラト (0.722) | 納 (0.884) | あんのういも (0.810)"
tr_img_06129,3,0.7113,"ひらお (0.917) | か (0.716) | 楼骨小 (0.502)"
tr_img_06130,21,0.8693,"時間貸 (0.929) | パーク (0.711) | 時間貸 (0.839) | 収容 (0.761) | ここを右折 (0.873) | パーク (0.849) | 札幌中島公園南駐車場 (0.984) | 札幌中島公園南駐主車場 (0.982) | 夜間20:008:00 (0.978) | 昼間 (0.742) | 100円 (0.977) | 60分 (0.982) | 10円 (0.949) | 30分 (0.767) | ここを右折 (0.994)"
tr_img_06131,19,0.9608,"軽量 (0.997) | クラフト封筒 (0.986) | 良形3号 (0.873) | 徳用 (1.000) | 定形郵便 (1.000) | サイズ (1.000) | 44サイズ横3つ折対応 (0.963) | 枚入 (0.951) | 保存、郵送に便利です (1.000) | 書類等の整理 (0.999)"
tr_img_06132,4,0.9938,"日本橋 (0.999) | 人形町 (0.992) | 一丁目 (0.985)"
tr_img_06133,2,0.9102,"小中町 (0.822)"
tr_img_06134,2,0.9250,"宇国川川町 (0.876)"
tr_img_06135,35,0.8821,"えきまえひるは (0.988) | 駅前広場 (1.000) | 站前一均 (0.679) | タクシーのリば (0.993) | 出租奉站 (0.956) | 剽人舎斗 (0.610) | えきまえこうばん (0.994) | 駅前交番 (1.000) | 店前派出所 (0.886) | 斗善企 (0.882) | ちかちゅうしやじょう (0.962) | 工キパ地下駐車場 (0.944) | Tエキパ (0.845) | 地下停奉瑤 (0.786) | T転le (0.544) | 李斗乳 (0.797) | しずおかおんがくかん (0.974) | 新静岡駅 (0.659) | 静岡音楽館AC (0.892) | 人天生外 (0.516) | 静図音荼館AO (0.744)"
tr_img_06136,2,0.8801,"高村歯科 (0.819) | つ (0.941)"
tr_img_06137,2,0.8120,"丸菱声桜 (0.749) | 練馬営業所 (0.875)"
tr_img_06138,4,0.9033,"日本橋 (1.000) | 人形町 (0.998) | 一T目 (0.634)"
tr_img_06139,5,0.8876,"清水区 (0.997) | 目形町 (0.541)"
tr_img_06140,2,0.9932,"化粧室 (0.996)"
tr_img_06141,1,0.7989,"あ用じております (0.799)"
tr_img_06142,8,0.7374,"井川 (0.999) | 藤枝 (0.510) | 東静田駅 (0.604) | 清水駅 (0.974)"
tr_img_06143,2,0.9704,"中の島1条2丁目 (0.947)"
tr_img_06144,0,0.0000,""
tr_img_06145,4,0.7967,"豊平区 (0.979) | なか (0.707) | 中の島1条3丁目4 (0.809) | しま (0.691)"
tr_img_06146,2,0.6491,"小林女久聖 (0.663) | 三鷹市北野リ丁番 (0.635)"
tr_img_06147,1,0.9877,"受付B1 (0.988)"
tr_img_06148,3,0.8401,"給田境 (0.937)"
tr_img_06149,4,0.9934,"日本橋 (0.979) | 人形町 (0.998) | 一丁目 (0.997)"
tr_img_06150,1,0.8651,"深144 (0.865)"
tr_img_06151,1,0.8611,"オワート (0.861)"
tr_img_06152,2,0.9863,"南13条西7丁目 (0.980)"
tr_img_06153,9,0.9708,"興津 (1.000) | 清水駅 (1.000) | 草薙 (0.878) | 南幹線 (0.994)"
tr_img_06154,1,0.5509,"ヨ三国卜川畿 (0.551)"
tr_img_06155,2,0.9380,"配達いつもありがとう (0.879) | 工藤 (0.997)"
tr_img_06156,1,0.7328,"すぐそき (0.733)"
tr_img_06157,2,0.8117,"米良 (0.993)"
tr_img_06158,0,0.0000,""
tr_img_06159,13,0.8962,"ナいにも (0.532) | 野菜も、行凍る (0.710) | おいしく保存! (0.865) | X当社調べ。 (0.803) | 運転状況や食品の種類 (0.999) | 状態 (0.998) | 量によって効果が異なります (0.981) | 日立だけの (0.997) | 真空チルド (1.000) | 咲度を守る (0.805) | 新鮮スリープ野菜室 (0.994) | 3つの技術 (0.968) | デリシャス冷凍 (1.000)"
tr_img_06160,0,0.0000,""
tr_img_06161,0,0.0000,""
tr_img_06162,4,0.6904,"池田屋安兵衛商店 (0.911) | 認久気の (0.593) | おはすめ3大商品! (0.736) | おな赤い (0.522)"
tr_img_06163,2,0.8033,"中央区 (0.998) | 原目本橋二一丁目9 (0.609)"
tr_img_06164,11,0.9368,"駐車券 (0.883) | 発券 (0.953) | 公ご利用の際は、場内の約款看板を必すお読み下さい。 (0.942) | 太2千円:5千円1万円札のご利用は出来ません。 (0.926) | リパークコールセシター(携帯電話もこ利用できます) (0.910) | つ駐車場名Dパ一ク札幌南14西 (0.740)"
tr_img_06165,11,0.7506,"言こり (0.897) | 0円 (0.717) | 高2時翌3時 (0.763) | 疲れ (0.815) | 慶縮 (0.661) | 火曜のみ副き署ち (0.587) | 美市ビル (0.754)"
tr_img_06166,1,0.9458,"東日本 (0.946)"
tr_img_06167,16,0.9822,"興津 (1.000) | 清水駅 (0.997) | 日本平 (1.000) | 船越 (1.000) | 清水港 (0.989) | の先300ｍ (0.968)"
tr_img_06168,4,0.8558,"臼井 (0.915) | 暉男 (0.734)"
tr_img_06169,2,0.9737,"ベトナム料理 (0.958) | ホアングン (0.989)"
tr_img_06170,24,0.9049,"人とクルマと街と (0.998) | 成大料金 (0.637) | 駐車後 (0.997) | 24時間 (0.999) | 連本料金 (0.519) | 分 (1.000) | 円 (0.604) | O0町 (0.653) | 最大料金は (1.000) | タイムズ南 (1.000) | 10西7 (0.999) | 繰り返し (0.997) | 適用されます (1.000) | 札幌市中央区南1 (0.997) | 10条西7丁目 (0.972) | 故障の際は (1.000) | タイムズサービス(株) (0.995)"
tr_img_06171,10,0.9119,"八番山 (0.820) | はちまんやま (0.999) | 上北沢 (1.000) | 芦花公園 (1.000)"
tr_img_06172,2,0.9932,"南14条西5丁目 (0.997)"
tr_img_06173,6,0.7633,"たがやく (0.829) | 世田谷区 (0.998) | 成城力丁目5 (0.670) | Sのo (0.552)"
tr_img_06174,2,0.6327,"par上et (0.511)"
tr_img_06175,0,0.0000,""
tr_img_06176,7,0.8678,"この出入口は (0.899) | 毎抜 (0.786) | 海揄 (0.632) | 東京都交通局 (0.996)"
tr_img_06177,4,0.9702,"中原区 (0.998) | 木月 (0.997) | 3丁目 (0.895)"
tr_img_06178,4,0.9973,"日本橋 (1.000) | 人形町 (1.000) | 一丁目 (0.999)"
tr_img_06179,8,0.9127,"中央区 (0.964) | 日本橋豚町丁目 (0.635)"
tr_img_06180,12,0.9405,"で (0.989) | 動画写真 (0.995) | 型 (0.774) | ゲームに (0.994) | おすすめ (0.999) | フルHD (0.849) | 広視野角ADSパネル採用 (0.985) | ワイド液品ディスプレイ (0.948)"
tr_img_06181,9,0.8914,"Car-Netr城 (0.744) | 先進のテレマテイクス機能の (0.851)"
tr_img_06182,16,0.9464,"タクシー (0.985) | 団体バス・路線バス (0.982) | 一般車 (0.992) | レンタカー (0.990)"
tr_img_06183,9,0.8803,"北野 (1.000) | 四丁目 (0.992)"
tr_img_06184,2,0.9166,"まじよ大 (0.944)"
tr_img_06185,66,0.8717,"人天副 (0.840) | 清永年金事務所 (0.966) | 清水年金事矛所 (0.901) | 四言人早企 (0.755) | 清水江尻小学校 (0.949) | 清水江尻小学校 (0.940) | 人口 (0.580) | 清水テルサ (0.996) | 静図市奈部勤蒡者福祉中心 (0.951) | 清永 (0.868) | 副亭入 (0.813) | JＲ清水駅 (0.964) | マリナート (0.999) | JR清水站 (0.970) | 清水文化会館 (0.979) | JR人町玉9 (0.527) | N口I (0.659) | 医 (0.667) | 静鉄新清水駅 (0.994) | 新済水店 (0.786) | 千町 (0.994) | 泊生町 (0.829) | 日町 (0.724) | 清水年金京務所! (0.812) | 浜田親水公原 (0.856) | 臼町公園 (0.901) | 島崎町公園 (0.915) | 浜田ボン (0.818) | 大場口 (0.582) | JRN四本 (0.597) | 中 (0.607) | 現在地 (0.788) | 水神社 (0.996)"
tr_img_06186,0,0.0000,""
tr_img_06187,10,0.8638,"栄町 (0.708) | 伝馬田 (0.833) | 公交牢! (0.751) | 画 (0.986) | 菓町 (0.985) | 綾町 (0.583)"
tr_img_06188,5,0.9582,"田二丁目 (0.914) | 時差式 (0.992)"
tr_img_06189,3,0.7876,"木月 (1.000) | 城交妾骨院 (0.765)"
tr_img_06190,29,0.9287,"港ミ田クリニック (0.841) | 院長 (1.000) | 石井 (0.955) | 勝 (0.999) | 科 (1.000) | 内 (0.999) | 消化器内科 (0.997) | 東洋医学(鍼・漢戸)人間ドック・吾種検診 (0.874) | 信環器内科 (0.963) | 診療時間 (0.986) | 婦人科 (0.983) | 休診日丿木曜・土曜(午後・日曜・祝日 (0.983) | 小児科 (0.960) | 港区芝5-16-1千代ビル3 (0.988) | 心療内科 (0.985) | 当駅Ａ3:A8出口より徒歩3分 (0.923) | 問合せ先 (0.970) | 東京都営交通協力会 (1.000)"
tr_img_06191,3,0.5781,"文り (0.513) | すりイト (0.671) | マオワイト (0.550)"
tr_img_06192,5,0.9245,"三鷹市 (1.000) | 北嗣四上目寸 (0.628)"
tr_img_06193,0,0.0000,""
tr_img_06194,4,0.8681,"永代弟の (0.737)"
tr_img_06195,4,0.9243,"日本橋 (1.000) | 人形町 (0.995) | 三丁目 (0.769)"
tr_img_06196,6,0.8143,"上質な音楽空間をあなたへ (0.908) | くつろぎの時間を演出する (0.954)"
tr_img_06197,9,0.9256,"ロツク板が下がつたことを確誌し (0.944) | 一分以びに (0.638) | 出庫してください (0.998) | 壬重位置番号を間違つた (0.902) | 精算金は (1.000) | 反金いたしません (0.964) | 支払の途中で精算機から離れる場合は (0.999) | 必す「以肖ボタンを (0.914) | 押してください (0.971)"
tr_img_06198,20,0.9801,"JR清水駅東口 (0.904) | 駐重場駐輪場 (0.971) | 清水テルサ (0.998) | 清水文化会館マリナート (0.990) | ホテル (0.991)"
tr_img_06199,13,0.8517,"高ご制限 (0.773) | 重量制限 (0.971) | 高さ制限 (0.993) | すすぎの8:4 (0.806) | ザれセン (0.616)"
tr_img_06200,2,0.9919,"カタログブテイック (0.984) | 南14条店 (1.000)"
tr_img_06201,2,0.5594,"自輪軍専居 (0.607)"
tr_img_06202,4,0.9799,"神保田 (0.962) | 曙橋 (0.970) | 方面 (0.989) | 本八幡 (0.999)"
tr_img_06203,1,0.5828,"静商目吉奈本新 (0.583)"
tr_img_06204,13,0.7964,"そしい非旅素系の材質を使用し (0.826) | この後は地会 (0.786) | のn (0.541) | ウサギの (0.829) | 牧草スナック (0.921) | ハーブの香り (0.876) | シャンピーオンエキス配日 (0.811) | かたさ (0.818) | キシツトー川配台 (0.518) | 産 (0.999) | 玉 (0.996) | ア川 (0.659)"
tr_img_06205,2,0.6287,"科林 (0.653) | 銀承 (0.604)"
